partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2021-01-16 08:35:00+00:00,2021-01-16 08:40:00+00:00,2021-01-16 10:35:00+00:00,37500.0,37419.49,-0.0021469333333333784,0.01333333333333342,-0.008549333333333298,23,18,4,0.782608695652174,0.17391304347826086,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-01-17 01:45:00+00:00,2021-01-17 01:50:00+00:00,2021-01-17 02:45:00+00:00,36318.0,36346.48,0.0007841841511098124,0.012968775813646083,-0.0004752464342751006,11,6,4,0.5454545454545454,0.36363636363636365,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-01-20 14:40:00+00:00,2021-01-20 14:45:00+00:00,2021-01-20 15:25:00+00:00,34932.24,34720.0,-0.006075762676541752,0.0043753277774343236,-0.006419284878381615,8,4,3,0.5,0.375,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-01-20 18:45:00+00:00,2021-01-20 18:50:00+00:00,2021-01-20 19:35:00+00:00,34989.92,34950.84,-0.0011168930937824895,0.008576184226771755,-0.003201207662092198,9,6,2,0.6666666666666666,0.2222222222222222,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-01-23 17:10:00+00:00,2021-01-23 17:15:00+00:00,2021-01-23 17:25:00+00:00,32178.51,32075.48,-0.003201826312032474,0.0002324532739397256,-0.003769907307703102,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-01-23 17:35:00+00:00,2021-01-23 17:40:00+00:00,2021-01-23 18:15:00+00:00,32276.65,32132.0,-0.004481567944628728,0.004905713573124748,-0.00513188326545666,7,4,2,0.5714285714285714,0.2857142857142857,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-02-07 22:05:00+00:00,2021-02-07 22:10:00+00:00,2021-02-07 22:30:00+00:00,38576.4,38356.03,-0.005712560010783907,0.0032040314803869485,-0.005827915513111681,4,2,1,0.5,0.25,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-02-07 22:50:00+00:00,2021-02-07 22:55:00+00:00,2021-02-08 00:30:00+00:00,38826.99,38870.01,0.0011079921467000986,0.009244600212378051,-0.0019828990091685927,19,14,4,0.7368421052631579,0.21052631578947367,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-02-15 09:25:00+00:00,2021-02-15 09:30:00+00:00,2021-02-15 09:40:00+00:00,47630.29,47274.7,-0.007465627440017775,0.0,-0.008047190138880111,2,0,1,0.0,0.5,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2021-02-15 10:25:00+00:00,2021-02-15 10:30:00+00:00,2021-02-15 10:50:00+00:00,47639.8,47530.01,-0.002304585661568659,0.0016790582664074627,-0.0023749050163938135,4,2,1,0.5,0.25,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-02-23 13:45:00+00:00,2021-02-23 13:50:00+00:00,2021-02-23 14:30:00+00:00,48790.06,48502.94,-0.005884805224670719,0.00823815342715295,-0.006867382413548895,8,5,2,0.625,0.25,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2021-02-23 15:35:00+00:00,2021-02-23 15:40:00+00:00,2021-02-23 16:20:00+00:00,48932.91,48016.0,-0.018738104886874773,0.009545109824860232,-0.0211086976024929,8,5,2,0.625,0.25,CLOSE_BELOW_EMA50
