feature,dev_q33,dev_q67,partition,tercile,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
ret_7d,-0.04233385380652266,0.13745200116028414,external,HIGH,45,0.5777777777777777,-216.83368990094584,-4.818526442243241,0.6177105899695261,321.11778559224683,6,8
ret_7d,-0.04233385380652266,0.13745200116028414,development,LOW,67,0.5970149253731343,61.785045055349705,0.9221648515723837,1.1584762243091762,118.36611857949222,6,9
ret_7d,-0.04233385380652266,0.13745200116028414,development,MID,67,0.5671641791044776,213.0717863021359,3.1801759149572524,2.204009507605631,91.65566576505992,10,8
ret_7d,-0.04233385380652266,0.13745200116028414,development,HIGH,67,0.7014925373134329,305.89478571641973,4.5655938166629815,3.8445767798761206,25.516902717980315,4,10
ret_7d,-0.04233385380652266,0.13745200116028414,reference_validation,LOW,45,0.4222222222222222,-163.25360072109234,-3.627857793802052,0.43833744237389566,195.73483264063987,9,8
ret_7d,-0.04233385380652266,0.13745200116028414,reference_validation,MID,27,0.7037037037037037,52.244818580244534,1.9349932807497976,2.259319168960073,24.963597261939306,4,10
ret_7d,-0.04233385380652266,0.13745200116028414,reference_validation,HIGH,12,0.4166666666666667,24.284002314326436,2.023666859527203,1.7173871763912978,31.291948478740387,6,3
range_24h,0.08098256652222954,0.12340133916776315,external,LOW,0,,0.0,,,,0,0
range_24h,0.08098256652222954,0.12340133916776315,external,MID,14,0.7857142857142857,49.079149516303445,3.5056535368788175,2.816542837842114,22.35254555024204,2,9
range_24h,0.08098256652222954,0.12340133916776315,external,HIGH,88,0.6818181818181818,381.2015013139538,4.331835242204021,1.4893140506402611,307.78239752441664,7,14
range_24h,0.08098256652222954,0.12340133916776315,development,LOW,67,0.5522388059701493,77.67834473839969,1.1593782796776073,1.438502435972478,61.51422378293795,9,9
range_24h,0.08098256652222954,0.12340133916776315,development,MID,67,0.7164179104477612,234.27333606058957,3.4966169561282023,2.0657129048939633,71.06882380925336,4,12
range_24h,0.08098256652222954,0.12340133916776315,development,HIGH,67,0.5970149253731343,268.79993627491615,4.011939347386808,1.9689915876114428,123.07934324611513,5,9
range_24h,0.08098256652222954,0.12340133916776315,reference_validation,LOW,56,0.4642857142857143,-136.9402466180569,-2.445361546751016,0.45897245717652985,160.82048918732173,12,6
range_24h,0.08098256652222954,0.12340133916776315,reference_validation,MID,15,0.5333333333333333,-1.2368663691153152,-0.08245775794102102,0.9807571603702532,27.070338486473297,3,3
range_24h,0.08098256652222954,0.12340133916776315,reference_validation,HIGH,13,0.6923076923076923,51.452333160650824,3.957871781588525,2.058463144265332,40.71134618001315,2,5
range_72h,0.14672582825073632,0.2269944114176297,external,LOW,0,,0.0,,,,0,0
range_72h,0.14672582825073632,0.2269944114176297,external,MID,33,0.8484848484848485,270.01261090207504,8.18220033036591,20.6047654459271,4.95984849788897,2,15
range_72h,0.14672582825073632,0.2269944114176297,external,HIGH,69,0.6231884057971014,160.2680399281822,2.3227252163504666,1.2022825445029126,311.688592800462,6,9
range_72h,0.14672582825073632,0.2269944114176297,development,LOW,67,0.5970149253731343,108.88717615362754,1.625181733636232,1.6347240769405713,96.4358177009518,10,17
range_72h,0.14672582825073632,0.2269944114176297,development,MID,67,0.6567164179104478,170.67944408453414,2.547454389321405,1.7204051217417418,83.92687441872576,6,13
range_72h,0.14672582825073632,0.2269944114176297,development,HIGH,67,0.6119402985074627,301.18499683574373,4.495298460234981,2.1326906098690994,118.36611857949221,6,10
range_72h,0.14672582825073632,0.2269944114176297,reference_validation,LOW,53,0.5283018867924528,-41.64667147421409,-0.7857862542304545,0.7699326126038057,70.19531194282051,6,6
range_72h,0.14672582825073632,0.2269944114176297,reference_validation,MID,22,0.36363636363636365,-111.77259250964289,-5.08057238680195,0.3688017845508814,165.84389335070193,11,5
range_72h,0.14672582825073632,0.2269944114176297,reference_validation,HIGH,9,0.7777777777777778,66.69448415733557,7.410498239703951,9.443334529939431,5.340395480225936,1,3
loc_24h,0.42554762981431343,0.5698878021822673,external,LOW,33,0.6666666666666666,91.84882246333639,2.783297650404133,1.2436173758153284,216.76380610453236,6,6
loc_24h,0.42554762981431343,0.5698878021822673,external,MID,30,0.8,219.5806403372979,7.31935467790993,4.666028966573511,26.855651105651106,2,16
loc_24h,0.42554762981431343,0.5698878021822673,external,HIGH,39,0.6410256410256411,118.85118802962288,3.04746635973392,1.3219556932852308,170.3451101951264,5,11
loc_24h,0.42554762981431343,0.5698878021822673,development,LOW,67,0.6119402985074627,222.37284505281062,3.3189976873553824,1.7158956181577347,144.23359835726484,5,15
loc_24h,0.42554762981431343,0.5698878021822673,development,MID,67,0.6716417910447762,195.70637217854633,2.920990629530542,2.1735643986097126,76.30246734198292,6,11
loc_24h,0.42554762981431343,0.5698878021822673,development,HIGH,67,0.582089552238806,162.67239984254846,2.4279462663066935,1.8257905469277096,51.00882276640901,6,9
loc_24h,0.42554762981431343,0.5698878021822673,reference_validation,LOW,34,0.6176470588235294,23.5591030117873,0.6929147944643324,1.1565573533102846,65.98293982193908,4,8
loc_24h,0.42554762981431343,0.5698878021822673,reference_validation,MID,27,0.4444444444444444,-77.13345501976798,-2.856794630361777,0.4627180684764527,114.94868921997036,9,4
loc_24h,0.42554762981431343,0.5698878021822673,reference_validation,HIGH,23,0.43478260869565216,-33.15042781854068,-1.4413229486322034,0.5392826523219323,47.301788055013105,5,2
loc_7d,0.4342676026058781,0.7323624877515988,external,LOW,33,0.8181818181818182,446.99691140834045,13.545360951767892,3.547231858792809,127.8763382965546,3,10
loc_7d,0.4342676026058781,0.7323624877515988,external,MID,27,0.7777777777777778,158.57714908678184,5.8732277439548835,1.9797000258049646,132.87908789452695,4,9
loc_7d,0.4342676026058781,0.7323624877515988,external,HIGH,42,0.5476190476190477,-175.29340966486507,-4.173652611068216,0.6260202726768281,330.25707221893515,6,7
loc_7d,0.4342676026058781,0.7323624877515988,development,LOW,67,0.5970149253731343,81.89790510587159,1.222356792624949,1.222944479150035,99.82521372410102,5,9
loc_7d,0.4342676026058781,0.7323624877515988,development,MID,67,0.582089552238806,229.6835235200958,3.4281122913447133,2.196793910758777,105.84990901194998,6,12
loc_7d,0.4342676026058781,0.7323624877515988,development,HIGH,67,0.6865671641791045,269.17018844793796,4.017465499222955,3.3383365579075086,36.56387059525517,4,7
loc_7d,0.4342676026058781,0.7323624877515988,reference_validation,LOW,52,0.5,-81.81275687906445,-1.5733222476743163,0.6655486530021318,144.37310202416776,9,8
loc_7d,0.4342676026058781,0.7323624877515988,reference_validation,MID,21,0.6666666666666666,34.29273494242222,1.632987378210582,1.4452189223615417,63.92896332255542,3,8
loc_7d,0.4342676026058781,0.7323624877515988,reference_validation,HIGH,11,0.2727272727272727,-39.204757889879176,-3.564068899079925,0.11613987063767768,41.79176438868106,5,1
