visits_reached,first_break_visit,break_i,first_visit_delay_min,h1_h2_min,h2_h3_min,h3_h4_min,h4_h5_min,break_delay_min,break_close_excess_R,extension_before_reclaim_R,ext15_R,ext30_R,ext60_R,ext120_R,reclaim_min,reclaim15,reclaim30,reclaim60,reach_E05,reach_E10,reach_E15,reach_E20,reach_E30,reach_E40,partition,ref_min,hour,execution_start,dev_block,H,L,R,role
1,1,119100,120.0,,,,,125.0,0.044510385756678275,0.21568991097923068,0.21568991097923068,0.21568991097923068,0.21568991097923068,0.21568991097923068,15.0,True,True,True,True,True,True,True,False,False,external,240,18,2021-11-01 18:00:00+00:00,,205.202,199.81,5.391999999999996,CENTRAL
1,1,119364,0.0,,,,,5.0,0.03441576464057598,0.226847997039504,0.226847997039504,0.226847997039504,0.226847997039504,0.30271070404292644,15.0,True,True,True,True,True,True,True,False,False,external,240,18,2021-11-02 18:00:00+00:00,,214.728,203.919,10.808999999999997,CENTRAL
1,1,119655,10.0,,,,,20.0,0.07660702451954961,2.5538767395626194,0.6103379721669954,0.9939032471835626,1.2856196156394921,1.505500331345256,,False,False,False,True,True,True,True,True,True,external,240,18,2021-11-03 18:00:00+00:00,,228.4,220.855,7.545000000000016,CENTRAL
1,1,119974,165.0,,,,,175.0,0.08414100694742219,0.42945364096406285,0.3153786774165876,0.3153786774165876,0.3153786774165876,0.4112702633158925,205.0,False,False,False,True,True,True,True,True,True,external,240,18,2021-11-04 18:00:00+00:00,,245.513,233.854,11.658999999999992,CENTRAL
1,1,120230,10.0,,,,,15.0,0.002355404344412548,0.0,0.023161476053388197,0.023161476053388197,0.023161476053388197,0.023161476053388197,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-11-05 18:00:00+00:00,,238.252,230.61,7.641999999999996,CENTRAL
4,4,120556,110.0,10.0,15.0,65.0,,205.0,0.039886039886039344,0.35203448023960987,0.35203448023960987,0.35203448023960987,0.35203448023960987,0.35203448023960987,180.0,False,False,False,True,True,True,True,True,False,external,240,18,2021-11-06 18:00:00+00:00,,255.245,241.556,13.688999999999993,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-07 18:00:00+00:00,,253.722,249.5,4.222000000000008,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-08 18:00:00+00:00,,253.668,243.1,10.568000000000012,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-09 18:00:00+00:00,,246.64,237.333,9.306999999999988,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-10 18:00:00+00:00,,248.18,240.85,7.3300000000000125,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-11 18:00:00+00:00,,242.813,237.38,5.432999999999993,CENTRAL
1,1,122244,0.0,,,,,5.0,0.09626865671641706,0.22441364605543612,0.22334754797441364,0.22441364605543612,0.22441364605543612,0.22441364605543612,40.0,False,False,True,True,True,True,True,False,False,external,240,18,2021-11-12 18:00:00+00:00,,230.495,221.115,9.379999999999995,CENTRAL
2,2,122565,155.0,10.0,,,,170.0,0.06703635243376242,0.30745532963647587,0.20320394331484892,0.20320394331484892,0.30745532963647587,0.30745532963647587,75.0,False,False,False,True,True,True,True,True,False,external,240,18,2021-11-13 18:00:00+00:00,,239.305,231.19,8.115000000000009,CENTRAL
2,2,122874,255.0,15.0,,,,275.0,0.012213921498874509,0.0,0.035811692161744665,0.035811692161744665,0.035811692161744665,0.3400924937744572,5.0,True,True,True,False,False,False,False,False,False,external,240,18,2021-11-14 18:00:00+00:00,,238.797,230.364,8.432999999999993,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-15 18:00:00+00:00,,244.204,238.6,5.604000000000013,CENTRAL
0,0,-1,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,external,240,18,2021-11-16 18:00:00+00:00,,227.733,222.36,5.3729999999999905,CENTRAL
