partition,regime,clock_block,obs_start,obs_end,fill_ts,entry_fraction,entry_price,H,L,R4,stop_r4_fraction,target_r4_fraction,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,structural_winner
development,BEAR,20-00,2022-12-31 20:00:00+00:00,2023-01-01 00:00:00+00:00,2022-12-31 20:15:00+00:00,0.05,16564.365,16609.3,16562.0,47.29999999999927,0.15,0.15,1.0,16571.460000000003,16557.27,2022-12-31 21:20:00+00:00,16557.27,TP,0.00042832912701459814,-0.18583543649270096,False,True
development,BULL,16-20,2023-01-03 16:00:00+00:00,2023-01-03 20:00:00+00:00,2023-01-03 17:20:00+00:00,0.05,16617.745,16764.9,16610.0,154.90000000000146,0.25,0.25,1.0,16656.47,16579.019999999997,2023-01-03 20:00:00+00:00,16637.7,TIME,-0.0012008247809797146,-1.0004123904898572,False,False
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,2023-01-04 20:50:00+00:00,0.05,16788.045000000002,16984.6,16777.7,206.89999999999785,0.15,0.15,1.0,16819.08,16757.010000000002,2023-01-04 21:25:00+00:00,16819.08,STOP,-0.00184863693181665,-1.3243184659083251,False,False
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,2023-01-05 09:35:00+00:00,0.1,16788.230000000003,16840.7,16782.4,58.29999999999927,0.3,0.3,1.0,16805.72,16770.740000000005,2023-01-05 10:00:00+00:00,16805.72,STOP,-0.0010418013096078597,-0.9209006548039299,False,False
development,BULL,12-16,2023-01-08 12:00:00+00:00,2023-01-08 16:00:00+00:00,2023-01-08 12:10:00+00:00,0.05,16919.91,16960.0,16917.8,42.20000000000073,0.3,0.3,1.0,16932.57,16907.25,2023-01-08 14:15:00+00:00,16932.57,STOP,-0.0007482309303063583,-0.7741154651531792,False,True
development,BULL,16-20,2023-01-08 16:00:00+00:00,2023-01-08 20:00:00+00:00,2023-01-08 17:00:00+00:00,0.05,16917.845,17015.6,16912.7,102.89999999999782,0.25,0.25,1.0,16943.57,16892.120000000003,2023-01-08 17:15:00+00:00,16943.57,STOP,-0.0015205837386498425,-1.1602918693249213,False,False
development,BULL,12-16,2023-01-13 12:00:00+00:00,2023-01-13 16:00:00+00:00,2023-01-13 13:05:00+00:00,0.05,18816.205,19050.0,18803.9,246.09999999999852,0.3,0.3,1.0,18890.035,18742.375000000004,2023-01-13 13:45:00+00:00,18890.035,STOP,-0.003923745516165354,-2.361872758082677,False,False
development,SIDEWAYS,08-12,2023-01-19 08:00:00+00:00,2023-01-19 12:00:00+00:00,2023-01-19 10:30:00+00:00,0.1,20758.79,20882.0,20745.1,136.90000000000146,0.3,0.3,1.0,20799.86,20717.72,2023-01-19 10:55:00+00:00,20799.86,STOP,-0.0019784390130638493,-1.3892195065319246,False,True
development,BULL,12-16,2023-01-22 12:00:00+00:00,2023-01-22 16:00:00+00:00,2023-01-22 12:20:00+00:00,0.05,22743.055,22934.1,22733.0,201.09999999999852,0.3,0.3,1.0,22803.385,22682.725000000002,2023-01-22 12:40:00+00:00,22803.385,STOP,-0.002652677927393576,-1.7263389636967879,False,True
development,BULL,08-12,2023-01-28 08:00:00+00:00,2023-01-28 12:00:00+00:00,2023-01-28 09:25:00+00:00,0.1,22961.04,23124.3,22942.9,181.39999999999785,0.3,0.3,1.0,23015.46,22906.620000000003,2023-01-28 12:00:00+00:00,22973.4,TIME,-0.0005383031430632316,-0.6691515715316159,False,True
development,BULL,20-00,2023-02-02 20:00:00+00:00,2023-02-03 00:00:00+00:00,2023-02-02 21:20:00+00:00,0.05,23744.775,24149.0,23723.5,425.5,0.15,0.15,1.0,23808.600000000002,23680.95,2023-02-02 21:30:00+00:00,23680.95,TP,0.0026879597722025464,0.9439798861012733,True,True
development,BEAR,16-20,2023-02-05 16:00:00+00:00,2023-02-05 20:00:00+00:00,2023-02-05 17:05:00+00:00,0.05,23018.68,23373.6,23000.0,373.59999999999854,0.25,0.25,1.0,23112.08,22925.28,2023-02-05 17:15:00+00:00,22925.28,TP,0.004057574109375579,1.6287870546877898,True,True
development,BULL,08-12,2023-02-08 08:00:00+00:00,2023-02-08 12:00:00+00:00,2023-02-08 09:05:00+00:00,0.1,23184.68,23283.5,23173.7,109.79999999999929,0.3,0.3,1.0,23217.62,23151.74,2023-02-08 10:10:00+00:00,23151.74,TP,0.0014207657815418927,0.3103828907709463,True,True
development,BEAR,16-20,2023-02-09 16:00:00+00:00,2023-02-09 20:00:00+00:00,2023-02-09 16:15:00+00:00,0.05,22564.5,22840.0,22550.0,290.0,0.25,0.25,1.0,22637.0,22492.0,2023-02-09 16:30:00+00:00,22492.0,TP,0.003213011589000421,1.2065057945002104,True,True
development,BEAR,04-08,2023-02-10 04:00:00+00:00,2023-02-10 08:00:00+00:00,2023-02-10 04:55:00+00:00,0.05,21760.235,21933.8,21751.1,182.70000000000076,0.25,0.25,1.0,21805.91,21714.56,2023-02-10 05:05:00+00:00,21805.91,STOP,-0.002099012257909865,-1.4495061289549325,False,False
