cohort_id,partition,date_utc,variant,target_name,target_ext,managed,entry_bar_start,entry_px,H,L,R,h2_bar_start,exit_reason,exit_bar_start,exit_ts,exit_px,f75_breach,f75_signal_bar,f75_state,conditional_exit,pnl_0,pnl_5,baseline_pnl_0,baseline_pnl_5,delta_vs_base_0,delta_vs_base_5
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,BASE_E05,E05,0.05,False,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,BASE_E10,E10,0.1,False,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,BASE_E15,E15,0.15,False,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,M14_E05,E05,0.05,True,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,M14_E10,E10,0.1,True,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-06-28|2022-06-28 13:45:00+00:00,development,2022-06-28,M14_E15,E15,0.15,True,2022-06-28 13:45:00+00:00,1232.44,1234.0,1203.32,30.680000000000064,,CLOSE_INVALIDATION,2022-06-28 14:15:00+00:00,2022-06-28 14:20:00+00:00,1215.94,True,2022-06-28 14:00:00+00:00,PRE_H2,False,-7.094037843627266,-7.587097276067367,-7.094037843627266,-7.587097276067367,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,BASE_E05,E05,0.05,False,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:15:00+00:00,2022-07-28 15:20:00+00:00,1662.2,False,,NO_F75_BREACH,False,1.075282234464359,0.824669899514641,1.075282234464359,0.824669899514641,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,BASE_E10,E10,0.1,False,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,1665.4,False,,NO_F75_BREACH,False,2.0407021015984133,1.7896072979494808,2.0407021015984133,1.7896072979494808,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,BASE_E15,E15,0.15,False,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,1668.6,False,,NO_F75_BREACH,False,3.0061219687324674,2.7545446963843205,3.0061219687324674,2.7545446963843205,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,M14_E05,E05,0.05,True,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:15:00+00:00,2022-07-28 15:20:00+00:00,1662.2,False,,NO_F75_BREACH,False,1.075282234464359,0.824669899514641,1.075282234464359,0.824669899514641,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,M14_E10,E10,0.1,True,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,1665.4,False,,NO_F75_BREACH,False,2.0407021015984133,1.7896072979494808,2.0407021015984133,1.7896072979494808,0.0,0.0
development|2022-07-28|2022-07-28 15:15:00+00:00,development,2022-07-28,M14_E15,E15,0.15,True,2022-07-28 15:15:00+00:00,1657.31,1659.0,1595.0,64.0,2022-07-28 15:15:00+00:00,TARGET,2022-07-28 15:20:00+00:00,2022-07-28 15:25:00+00:00,1668.6,False,,NO_F75_BREACH,False,3.0061219687324674,2.7545446963843205,3.0061219687324674,2.7545446963843205,0.0,0.0
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,BASE_E05,E05,0.05,False,2022-08-12 15:55:00+00:00,1898.45,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,TARGET,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,1905.6865,False,,NO_F75_BREACH,False,1.5058969159050366,1.2550693812145135,1.5058969159050366,1.2550693812145135,0.0,0.0
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,BASE_E10,E10,0.1,False,2022-08-12 15:55:00+00:00,1898.45,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,TARGET,2022-08-12 18:35:00+00:00,2022-08-12 18:40:00+00:00,1908.2430000000002,False,,NO_F75_BREACH,False,2.1792093550001117,1.9280453323339946,2.1792093550001117,1.9280453323339946,0.0,0.0
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,BASE_E15,E15,0.15,False,2022-08-12 15:55:00+00:00,1898.45,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,TARGET,2022-08-12 18:40:00+00:00,2022-08-12 18:45:00+00:00,1910.7995,False,,NO_F75_BREACH,False,2.852521794095187,2.6010212834534756,2.852521794095187,2.6010212834534756,0.0,0.0
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,M14_E05,E05,0.05,True,2022-08-12 15:55:00+00:00,1898.45,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,TARGET,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,1905.6865,False,,NO_F75_BREACH,False,1.5058969159050366,1.2550693812145135,1.5058969159050366,1.2550693812145135,0.0,0.0
development|2022-08-12|2022-08-12 15:55:00+00:00,development,2022-08-12,M14_E10,E10,0.1,True,2022-08-12 15:55:00+00:00,1898.45,1903.13,1852.0,51.13000000000011,2022-08-12 16:00:00+00:00,TARGET,2022-08-12 18:35:00+00:00,2022-08-12 18:40:00+00:00,1908.2430000000002,False,,NO_F75_BREACH,False,2.1792093550001117,1.9280453323339946,2.1792093550001117,1.9280453323339946,0.0,0.0
