source_tf,family,mode,partition,candidate_n,raw_candidate_wr,long_n,short_n,median_hours,weekly_coverage,weekly_wr
D1,R6_HIGH,HOLD,development,221,0.4479638009049774,103,118,3.0,0.5448717948717948,0.4235294117647059
D1,R6_HIGH,HOLD,external,176,0.38636363636363635,85,91,2.0,0.5825242718446602,0.36666666666666664
D1,R6_HIGH,HOLD,reference_validation,125,0.392,56,69,6.0,0.5679012345679012,0.34782608695652173
D1,R6_HIGH,RECLAIM,development,221,0.4479638009049774,103,118,3.0,0.5448717948717948,0.4235294117647059
D1,R6_HIGH,RECLAIM,external,176,0.38636363636363635,85,91,2.0,0.5825242718446602,0.36666666666666664
D1,R6_HIGH,RECLAIM,reference_validation,125,0.392,56,69,6.0,0.5679012345679012,0.34782608695652173
D1,R6_HIGH,WICK,development,159,0.44654088050314467,67,92,3.0,0.5128205128205128,0.4375
D1,R6_HIGH,WICK,external,140,0.39285714285714285,62,78,3.0,0.5242718446601942,0.3888888888888889
D1,R6_HIGH,WICK,reference_validation,107,0.4485981308411215,46,61,6.0,0.5432098765432098,0.4090909090909091
D1,R6_LOW,BODY,development,154,0.35714285714285715,76,78,3.0,0.40384615384615385,0.3492063492063492
D1,R6_LOW,BODY,external,91,0.3956043956043956,43,48,2.0,0.3883495145631068,0.475
D1,R6_LOW,BODY,reference_validation,109,0.43119266055045874,50,59,3.0,0.4567901234567901,0.40540540540540543
D1,R6_LOW,HOLD,development,194,0.39690721649484534,110,84,2.0,0.46794871794871795,0.4383561643835616
D1,R6_LOW,HOLD,external,105,0.3904761904761905,54,51,2.0,0.4077669902912621,0.5
D1,R6_LOW,HOLD,reference_validation,124,0.3709677419354839,62,62,3.0,0.5185185185185185,0.42857142857142855
D1,R6_LOW,RECLAIM,development,194,0.39690721649484534,110,84,2.0,0.46794871794871795,0.4383561643835616
D1,R6_LOW,RECLAIM,external,105,0.3904761904761905,54,51,2.0,0.4077669902912621,0.5
D1,R6_LOW,RECLAIM,reference_validation,124,0.3709677419354839,62,62,3.0,0.5185185185185185,0.42857142857142855
D1,R6_LOW,WICK,development,148,0.4391891891891892,93,55,3.0,0.44871794871794873,0.5
D1,R6_LOW,WICK,external,77,0.4155844155844156,43,34,2.0,0.3786407766990291,0.5128205128205128
D1,R6_LOW,WICK,reference_validation,83,0.39759036144578314,50,33,3.0,0.48148148148148145,0.3333333333333333
