feature,lag_min,partition,bucket,n,long_rate,short_rate,D,none_rate,ambiguous_rate,median_fwd_ret_4h,median_max_up_4h,median_max_down_4h
taker_imb_15m,15,validation_2026,HIGH,10091,0.2921415122386285,0.3098800911703498,-0.017738578931721316,0.39758200376573183,0.00039639282528986224,-0.0002341646177261847,0.006329948569167909,-0.006747041256498165
taker_imb_15m,30,development,LOW,23390,0.4042753313381787,0.4262932877297991,-0.022017956391620352,0.16891834117144078,0.000513039760581445,0.0003949046760037822,0.009751767726259075,-0.010086158556636138
taker_imb_15m,30,development,HIGH,23390,0.4085506626763574,0.4135528003420265,-0.005002137665669093,0.1771269773407439,0.0007695596408721676,0.0002279447269846191,0.009653715286215503,-0.009755649805767153
taker_imb_15m,30,validation_2025,LOW,13353,0.39197184153373776,0.40709952819591105,-0.01512768666217329,0.20002995581517263,0.0008986744551786115,0.00010776442696269761,0.00894905920146849,-0.009240759240759289
taker_imb_15m,30,validation_2025,HIGH,12873,0.391594810844403,0.40845179833760586,-0.016856987493202857,0.19933193505787306,0.0006214557601180766,0.0,0.008871023632961439,-0.009222525632438527
taker_imb_15m,30,validation_2026,LOW,9690,0.28926728586171313,0.31785345717234265,-0.028586171310629516,0.39246646026831783,0.000412796697626419,0.00011521478427833909,0.006408603943342417,-0.0067090395480224885
taker_imb_15m,30,validation_2026,HIGH,10091,0.2943216727777227,0.3098800911703498,-0.015558418392627116,0.39530274502031515,0.0004954910316123278,-0.00025510204081646837,0.006339772164437818,-0.006825420900955614
taker_imb_15m,60,development,LOW,23389,0.402881696524007,0.4260549831117192,-0.023173286587712172,0.17037923810338193,0.0006840822608918723,0.00036620455139946273,0.00969340020552445,-0.010073301254665545
taker_imb_15m,60,development,HIGH,23390,0.4105600684053014,0.41380932022231726,-0.0032492518170158524,0.1752030782385635,0.00042753313381787086,0.0002309866833748453,0.00973554681519051,-0.009768383440567074
taker_imb_15m,60,validation_2025,LOW,13353,0.3921965101475324,0.40949599340972065,-0.017299483262188275,0.19770838013929454,0.0005991163034524077,0.0,0.008888532991671916,-0.009327610872675196
taker_imb_15m,60,validation_2025,HIGH,12873,0.3897304435640488,0.4095393459178125,-0.019808902353763702,0.19979802687796164,0.0009321836401771149,0.00023228803716612845,0.008918249380677201,-0.009215955983493784
taker_imb_15m,60,validation_2026,LOW,9690,0.2898864809081527,0.31475748194014447,-0.024871001031991746,0.39453044375644997,0.000825593395252838,0.00012087755379952547,0.006463449348346195,-0.006760951823299111
