partition,k,entry_fraction,ttl,exit_reason,n
development,2,F65,FULL,TIME_EXIT_SESSION_END,3
development,2,F65,FULL,TP_RANGE_EDGE,10
development,2,F65,T15,NO_ELIGIBLE_5M,1
development,2,F65,T15,RANGE_BROKE_BEFORE_FILL,20
development,2,F65,T15,SL_RANGE_EDGE,2
development,2,F65,T15,TIME_EXIT_SESSION_END,1
development,2,F65,T15,TP_RANGE_EDGE,6
development,2,F65,T15,TTL_EXPIRED,14
development,2,F65,T30,NO_ELIGIBLE_5M,1
development,2,F65,T30,RANGE_BROKE_BEFORE_FILL,21
development,2,F65,T30,SL_RANGE_EDGE,2
development,2,F65,T30,TIME_EXIT_SESSION_END,1
development,2,F65,T30,TP_RANGE_EDGE,7
development,2,F65,T30,TTL_EXPIRED,12
development,2,F65,T45,NO_ELIGIBLE_5M,1
development,2,F65,T45,RANGE_BROKE_BEFORE_FILL,24
development,2,F65,T45,SL_RANGE_EDGE,3
development,2,F65,T45,TIME_EXIT_SESSION_END,2
development,2,F65,T45,TP_RANGE_EDGE,9
development,2,F65,T45,TTL_EXPIRED,5
development,2,F65,T60,NO_ELIGIBLE_5M,1
development,2,F65,T60,RANGE_BROKE_BEFORE_FILL,24
development,2,F65,T60,SL_RANGE_EDGE,4
development,2,F65,T60,TIME_EXIT_SESSION_END,3
development,2,F65,T60,TP_RANGE_EDGE,9
development,2,F65,T60,TTL_EXPIRED,3
development,2,F65,T90,NO_ELIGIBLE_5M,1
development,2,F65,T90,RANGE_BROKE_BEFORE_FILL,25
development,2,F65,T90,SL_RANGE_EDGE,4
development,2,F65,T90,TIME_EXIT_SESSION_END,3
development,2,F65,T90,TP_RANGE_EDGE,10
development,2,F65,T90,TTL_EXPIRED,1
development,2,F70,FULL,NO_ELIGIBLE_5M,1
development,2,F70,FULL,NO_FILL,1
development,2,F70,FULL,RANGE_BROKE_BEFORE_FILL,23
development,2,F70,FULL,SL_RANGE_EDGE,4
development,2,F70,FULL,TIME_EXIT_SESSION_END,3
development,2,F70,FULL,TP_RANGE_EDGE,12
development,2,F70,T15,NO_ELIGIBLE_5M,1
development,2,F70,T15,RANGE_BROKE_BEFORE_FILL,20
development,2,F70,T15,SL_RANGE_EDGE,3
development,2,F70,T15,TIME_EXIT_SESSION_END,1
development,2,F70,T15,TP_RANGE_EDGE,8
development,2,F70,T15,TTL_EXPIRED,11
development,2,F70,T30,NO_ELIGIBLE_5M,1
development,2,F70,T30,RANGE_BROKE_BEFORE_FILL,20
development,2,F70,T30,SL_RANGE_EDGE,3
development,2,F70,T30,TIME_EXIT_SESSION_END,3
development,2,F70,T30,TP_RANGE_EDGE,10
development,2,F70,T30,TTL_EXPIRED,7
development,2,F70,T45,NO_ELIGIBLE_5M,1
development,2,F70,T45,RANGE_BROKE_BEFORE_FILL,22
development,2,F70,T45,SL_RANGE_EDGE,4
development,2,F70,T45,TIME_EXIT_SESSION_END,3
development,2,F70,T45,TP_RANGE_EDGE,11
development,2,F70,T45,TTL_EXPIRED,3
development,2,F70,T60,NO_ELIGIBLE_5M,1
development,2,F70,T60,RANGE_BROKE_BEFORE_FILL,22
development,2,F70,T60,SL_RANGE_EDGE,4
development,2,F70,T60,TIME_EXIT_SESSION_END,3
development,2,F70,T60,TP_RANGE_EDGE,11
development,2,F70,T60,TTL_EXPIRED,3
development,2,F70,T90,NO_ELIGIBLE_5M,1
development,2,F70,T90,RANGE_BROKE_BEFORE_FILL,23
development,2,F70,T90,SL_RANGE_EDGE,4
development,2,F70,T90,TIME_EXIT_SESSION_END,3
development,2,F70,T90,TP_RANGE_EDGE,12
development,2,F70,T90,TTL_EXPIRED,1
development,2,F75,FULL,NO_ELIGIBLE_5M,1
development,2,F75,FULL,NO_FILL,1
development,2,F75,FULL,RANGE_BROKE_BEFORE_FILL,21
