track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts,body_ratio,extension,ref_hour
H4,20,240,CLASSIC,,2023-11-30 04:00:00+00:00,LONG,-0.00958478640388699,SL,2023-11-29 20:00:00+00:00,2023-11-30 00:00:00+00:00,0.5450276243094003,0.5294308943089525,20
H4,20,240,CLASSIC,,2023-12-01 04:00:00+00:00,LONG,0.0013924457206265241,TP,2023-11-30 20:00:00+00:00,2023-12-01 00:00:00+00:00,0.6665957446808418,1.0236363636363504,20
H4,20,240,CLASSIC,,2023-12-04 04:00:00+00:00,LONG,0.009166591356708777,TP,2023-12-03 20:00:00+00:00,2023-12-04 00:00:00+00:00,0.7841041380040142,0.3575457580292386,20
H4,20,240,CLASSIC,,2023-12-11 04:00:00+00:00,SHORT,0.004960235343052956,TP,2023-12-10 20:00:00+00:00,2023-12-11 00:00:00+00:00,0.4204363575098965,2.2676056338028237,20
H4,20,240,CLASSIC,,2023-12-12 04:00:00+00:00,LONG,-0.010688152383962866,TIME,2023-12-11 20:00:00+00:00,2023-12-12 00:00:00+00:00,0.6429228545143953,0.4784932869219303,20
H4,20,240,CLASSIC,,2023-12-13 04:00:00+00:00,SHORT,-0.014141157553122228,SL,2023-12-12 20:00:00+00:00,2023-12-13 00:00:00+00:00,0.6779590993596399,0.3910939012584705,20
H4,20,240,CLASSIC,,2023-12-15 04:00:00+00:00,SHORT,0.002501074427458673,TP,2023-12-14 20:00:00+00:00,2023-12-15 00:00:00+00:00,0.3182545454545497,0.11033274956218059,20
H4,20,240,CLASSIC,,2023-12-16 04:00:00+00:00,LONG,0.0028006056027103945,TP,2023-12-15 20:00:00+00:00,2023-12-16 00:00:00+00:00,0.476983833148215,0.2045017842437535,20
H4,20,240,CLASSIC,,2023-12-17 04:00:00+00:00,SHORT,0.002280952676108673,TP,2023-12-16 20:00:00+00:00,2023-12-17 00:00:00+00:00,0.7693351424694858,0.5356242118537172,20
H4,20,240,CLASSIC,,2023-12-18 04:00:00+00:00,SHORT,0.01040186586226194,TP,2023-12-17 20:00:00+00:00,2023-12-18 00:00:00+00:00,0.42783276702614553,0.144404701073074,20
H4,20,240,CLASSIC,,2023-12-19 04:00:00+00:00,LONG,-0.015126418500188974,TIME,2023-12-18 20:00:00+00:00,2023-12-19 00:00:00+00:00,0.4485286417425856,0.25288309964323813,20
H4,20,240,CLASSIC,,2023-12-23 04:00:00+00:00,SHORT,0.0035065222583549618,TP,2023-12-22 20:00:00+00:00,2023-12-23 00:00:00+00:00,0.8169115012540351,0.24495412844037365,20
H4,20,240,CLASSIC,,2023-12-24 04:00:00+00:00,LONG,-0.006239239259775818,SL,2023-12-23 20:00:00+00:00,2023-12-24 00:00:00+00:00,0.43581907090465744,0.014911014911043326,20
H4,20,240,CLASSIC,,2024-01-02 04:00:00+00:00,LONG,0.0077439952547491715,TP,2024-01-01 20:00:00+00:00,2024-01-02 00:00:00+00:00,0.8831463968917223,1.3916666666666666,20
H4,20,240,CLASSIC,,2024-01-04 04:00:00+00:00,LONG,-0.012096109425875965,SL,2024-01-03 20:00:00+00:00,2024-01-04 00:00:00+00:00,0.4420621931260205,0.3175749616983981,20
H4,20,240,CLASSIC,,2024-01-05 04:00:00+00:00,SHORT,-0.002091219130654741,TIME,2024-01-04 20:00:00+00:00,2024-01-05 00:00:00+00:00,0.3400705645161312,0.4384437919463045,20
H4,20,240,CLASSIC,,2024-01-08 04:00:00+00:00,SHORT,-0.017715346420854317,SL,2024-01-07 20:00:00+00:00,2024-01-08 00:00:00+00:00,0.508018117272615,0.07882052736036069,20
H4,20,240,CLASSIC,,2024-01-12 04:00:00+00:00,SHORT,0.008209265543847212,TP,2024-01-11 20:00:00+00:00,2024-01-12 00:00:00+00:00,0.536596883362197,0.09359605911329841,20
H4,20,240,CLASSIC,,2024-01-14 04:00:00+00:00,SHORT,-0.010038079365488338,SL,2024-01-13 20:00:00+00:00,2024-01-14 00:00:00+00:00,0.6311508743391763,0.03292181069958848,20
H4,20,240,CLASSIC,,2024-01-17 04:00:00+00:00,SHORT,0.004654007749404778,TP,2024-01-16 20:00:00+00:00,2024-01-17 00:00:00+00:00,0.8098552338530173,0.4164612175232265,20
H4,20,240,CLASSIC,,2024-01-22 04:00:00+00:00,SHORT,0.0023835422759985194,TP,2024-01-21 20:00:00+00:00,2024-01-22 00:00:00+00:00,0.592552196946091,0.9387500000000045,20
H4,20,240,CLASSIC,,2024-01-26 04:00:00+00:00,LONG,0.002958635298111968,TP,2024-01-25 20:00:00+00:00,2024-01-26 00:00:00+00:00,0.2373540856031054,0.19540873460247335,20
H4,20,240,CLASSIC,,2024-01-28 04:00:00+00:00,LONG,0.0019434886437131329,TP,2024-01-27 20:00:00+00:00,2024-01-28 00:00:00+00:00,0.3279586248859187,0.07877536979704741,20
H4,20,240,CLASSIC,,2024-01-29 04:00:00+00:00,LONG,-0.012550311417867275,SL,2024-01-28 20:00:00+00:00,2024-01-29 00:00:00+00:00,0.4544295729764261,0.5110160427807517,20
H4,20,240,CLASSIC,,2024-01-30 04:00:00+00:00,LONG,-0.01010404387763558,SL,2024-01-29 20:00:00+00:00,2024-01-30 00:00:00+00:00,0.3134371815402602,0.433075073470471,20
H4,20,240,CLASSIC,,2024-02-01 04:00:00+00:00,SHORT,-0.01345533120624792,TIME,2024-01-31 20:00:00+00:00,2024-02-01 00:00:00+00:00,0.6960772181660698,0.23788142582241167,20
