partition,feature,winner_mean,loser_mean,winner_median,loser_median,smd,abs_smd,auc_oriented,n
external,prevday_forward_atr,2.666944834614587,2.728869213319846,2.618860365232848,2.6331049981574566,-0.022723169708641782,0.022723169708641782,0.5061164532710538,27366
external,prevday_adverse_atr,2.725895468750395,2.68813250819934,2.601135617126965,2.638772257686544,0.013857371565247694,0.013857371565247694,0.502248811188042,27366
external,prevweek_forward_atr,7.392465925593003,7.4190707761433625,7.093750162283776,7.336729122848652,-0.003557554932672289,0.003557554932672289,0.5037761668596787,27366
external,prevweek_adverse_atr,7.541686266992964,7.327845949509284,7.41241540260837,7.1455117696176345,0.028592111310669258,0.028592111310669258,0.5098300712160506,27366
external,week_pos_aligned,0.5067095566958695,0.4956263146933772,0.5271224603890421,0.4837597755299848,0.03994610421457139,0.03994610421457139,0.5108126757978804,27366
external,week_ret_aligned,0.0010127030284796412,-0.0006705412237661961,0.0004649430783628117,-0.00021868405030328608,0.023496083833654244,0.023496083833654244,0.5083029955479766,27366
external,week_range_pct,0.10397832367678583,0.1092603579289981,0.08706862066873922,0.09022820090852988,-0.06855543988272533,0.06855543988272533,0.5170131218208229,27366
external,day_pos_aligned,0.5085918168462163,0.49405848743716985,0.5150512881105008,0.48959826283581126,0.05366004342648062,0.05366004342648062,0.5156733408131065,27366
external,day_ret_aligned,0.0010667765878842968,-0.0007250758690992134,-4.427437748233398e-05,3.345534526233429e-05,0.05990560756236956,0.05990560756236956,0.5120579708508861,27366
external,day_range_pct,0.04000578807379101,0.04365310170181249,0.03185218738620995,0.03329703811529471,-0.0916004512614817,0.0916004512614817,0.5197694852095132,27366
external,hours_into_week,65.83194720665341,66.00607212953877,66.0,66.0,-0.004538142995078269,0.004538142995078269,0.501311669758941,27366
external,hours_remaining,102.16805279334659,101.99392787046123,102.0,102.0,0.004538142995078269,0.004538142995078269,0.5013116697589409,27366
external,hour_sin,0.06240017586546126,0.053733802879122175,1.2246467991473532e-16,1.2246467991473532e-16,0.012341030832921993,0.012341030832921993,0.5034447174938153,27366
external,hour_cos,-0.00026764462871030657,0.0007899829663097602,6.123233995736766e-17,6.123233995736766e-17,-0.0014903017444317457,0.0014903017444317457,0.500177466812536,27366
external,dow_sin,0.21965296747855684,0.22496579996761598,0.43388373911755823,0.43388373911755823,-0.008476287836593705,0.008476287836593705,0.502230843830713,27366
external,dow_cos,-0.09037527376971478,-0.09576008811998227,-0.22252093395631434,-0.22252093395631434,0.007268905741074164,0.007268905741074164,0.5015372777780833,27366
reference_validation,aligned_ret1,1.2372100638951495e-05,-5.838461761624737e-06,0.0,4.871187534449817e-06,0.003586460367466347,0.003586460367466347,0.5016834819830671,21186
reference_validation,aligned_ret3,0.00013950876778616512,-9.51165823651041e-05,8.351747284607303e-05,-5.934849524991126e-05,0.026898830307850573,0.026898830307850573,0.5079111020818692,21186
