hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net,blocked_by_open_until
2,1170,150,300,RV_HIGH__RANGE_MID,2024-08-01 19:30:00+00:00,2024-08-02 00:30:00+00:00,12.922041503084667,12.172041503084667,2024-08-02 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-08-01 19:45:00+00:00,2024-08-02 00:45:00+00:00,13.184772516248787,12.434772516248787,2024-08-02 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-08-02 19:15:00+00:00,2024-08-03 00:15:00+00:00,-2.698074510662906,-3.448074510662906,2024-08-03 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-08-02 19:30:00+00:00,2024-08-03 00:30:00+00:00,-3.7791527527899644,-4.529152752789964,2024-08-03 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-09-16 19:30:00+00:00,2024-09-17 00:30:00+00:00,0.8696374180071795,0.11963741800717953,2024-09-17 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-09-19 19:15:00+00:00,2024-09-20 00:15:00+00:00,-0.8130806632791207,-1.5630806632791208,2024-09-20 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-09-19 19:30:00+00:00,2024-09-20 00:30:00+00:00,-1.9118285767633822,-2.6618285767633822,2024-09-20 00:00:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-09-19 19:45:00+00:00,2024-09-20 00:45:00+00:00,-2.8014270655963087,-3.5514270655963087,2024-09-20 00:00:00+00:00
2,1155,150,300,RV_HIGH__RANGE_MID,2024-10-29 19:15:00+00:00,2024-10-30 00:15:00+00:00,-5.95481238031347,-6.70481238031347,2024-10-30 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-10-29 19:30:00+00:00,2024-10-30 00:30:00+00:00,-1.1548001001206274,-1.9048001001206274,2024-10-30 00:00:00+00:00
2,1170,150,300,RV_HIGH__RANGE_MID,2024-12-18 19:30:00+00:00,2024-12-19 00:30:00+00:00,-23.997022818121263,-24.747022818121263,2024-12-19 00:15:00+00:00
2,1185,150,300,RV_HIGH__RANGE_MID,2024-12-18 19:45:00+00:00,2024-12-19 00:45:00+00:00,-26.668785925343066,-27.418785925343066,2024-12-19 00:15:00+00:00
