partition,side,swing_level_ts,swing_level,retest_ts,entry_ts,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
development,SHORT,2022-06-18 20:00:00+00:00,17593.2,2022-11-08 16:00:00+00:00,2022-11-08 20:00:00+00:00,18238.0,20685.0,13344.0,0.1341704134225244,True,2023-01-14 00:35:00+00:00,20685.0,-0.13417041342252434,-67.48520671126218,SL,95315.0
development,LONG,2024-02-11 04:00:00+00:00,48600.0,2024-02-12 00:00:00+00:00,2024-02-12 04:00:00+00:00,48138.7,48001.0,48414.09999999999,0.002860484391975627,True,2024-02-12 06:45:00+00:00,48001.0,-0.002860484391975615,-1.8302421959878075,SL,165.0
development,LONG,2024-02-12 16:00:00+00:00,50413.2,2024-02-13 00:00:00+00:00,2024-02-13 04:00:00+00:00,49813.9,49754.4,49932.9,0.0011944457269958786,True,2024-02-13 04:30:00+00:00,49932.9,0.0023888914539917927,0.7944457269958963,TP_2R,30.0
development,LONG,2024-02-15 00:00:00+00:00,52568.3,2024-02-15 08:00:00+00:00,2024-02-15 12:00:00+00:00,52359.0,51666.0,53745.0,0.01323554689738154,True,2024-02-15 19:30:00+00:00,51666.0,-0.01323554689738149,-7.017773448690745,SL,450.0
development,LONG,2024-02-27 00:00:00+00:00,57780.0,2024-02-27 16:00:00+00:00,2024-02-27 20:00:00+00:00,57390.7,56231.0,59710.09999999999,0.020207106726351082,True,2024-02-28 13:05:00+00:00,59710.09999999999,0.04041421345270213,19.807106726351066,TP_2R,1025.0
development,LONG,2024-02-28 16:00:00+00:00,64300.0,2024-03-04 00:00:00+00:00,2024-03-04 04:00:00+00:00,63524.0,62299.0,65974.0,0.01928405012278824,True,2024-03-04 14:35:00+00:00,65974.0,0.03856810024557644,18.884050122788224,TP_2R,635.0
development,LONG,2024-03-05 00:00:00+00:00,68824.7,2024-03-05 12:00:00+00:00,2024-03-05 16:00:00+00:00,66839.8,66484.0,67551.40000000001,0.005323175712674228,True,2024-03-05 16:00:00+00:00,66484.0,-0.005323175712674266,-3.061587856337133,SL,0.0
development,LONG,2024-03-11 16:00:00+00:00,72890.0,2024-03-12 12:00:00+00:00,2024-03-12 16:00:00+00:00,71779.2,70777.7,73782.2,0.0139525099193081,True,2024-03-12 16:20:00+00:00,70777.7,-0.013952509919308076,-7.376254959654038,SL,20.0
development,LONG,2024-03-13 08:00:00+00:00,73755.0,2024-03-14 04:00:00+00:00,2024-03-14 08:00:00+00:00,73280.7,72720.0,74402.09999999999,0.007651400709873093,True,2024-03-14 11:15:00+00:00,72720.0,-0.007651400709873135,-4.225700354936568,SL,195.0
development,LONG,2024-11-07 20:00:00+00:00,76900.0,2024-11-08 16:00:00+00:00,2024-11-08 20:00:00+00:00,76894.4,75820.0,79043.19999999998,0.013972408914043081,True,2024-11-09 17:15:00+00:00,75820.0,-0.013972408914043055,-7.3862044570215275,SL,1275.0
development,LONG,2024-11-11 20:00:00+00:00,89800.0,2024-11-12 04:00:00+00:00,2024-11-12 08:00:00+00:00,89095.5,87769.0,91748.5,0.014888518499811999,True,2024-11-12 09:45:00+00:00,87769.0,-0.014888518499811987,-7.844259249905994,SL,105.0
development,LONG,2024-11-13 16:00:00+00:00,93421.1,2024-11-19 16:00:00+00:00,2024-11-19 20:00:00+00:00,93271.6,92105.9,95603.00000000003,0.01249790933145793,True,2024-11-19 21:15:00+00:00,92105.9,-0.01249790933145789,-6.648954665728946,SL,75.0
development,LONG,2024-11-21 08:00:00+00:00,98438.9,2024-11-21 16:00:00+00:00,2024-11-21 20:00:00+00:00,97891.5,96311.0,101052.5,0.01614542631382704,True,2024-11-24 15:35:00+00:00,96311.0,-0.016145426313827094,-8.472713156913548,SL,4055.0
development,LONG,2024-12-05 00:00:00+00:00,104630.4,2024-12-15 20:00:00+00:00,2024-12-16 00:00:00+00:00,104460.5,102592.4,108196.70000000001,0.0178833147457652,True,2024-12-17 14:55:00+00:00,108196.70000000001,0.03576662949153042,17.483314745765213,TP_2R,2335.0
reference_validation,LONG,2025-01-02 20:00:00+00:00,97822.4,2025-01-03 12:00:00+00:00,2025-01-03 16:00:00+00:00,97479.6,96422.5,99593.80000000002,0.010844320247518514,True,2025-01-06 05:20:00+00:00,99593.80000000002,0.021688640495036937,10.444320247518467,TP_2R,3680.0
reference_validation,LONG,2025-01-06 16:00:00+00:00,102444.0,2025-01-07 00:00:00+00:00,2025-01-07 04:00:00+00:00,101661.4,101459.4,102065.4,0.0019869881784039963,True,2025-01-07 10:10:00+00:00,101459.4,-0.0019869881784040366,-1.3934940892020182,SL,370.0
reference_validation,SHORT,2025-01-01 08:00:00+00:00,92796.5,2025-01-08 16:00:00+00:00,2025-01-08 20:00:00+00:00,94217.1,95456.2,91738.90000000002,0.01315154043162007,True,2025-01-09 20:10:00+00:00,91738.90000000002,0.02630308086324018,12.75154043162009,TP_2R,1450.0
reference_validation,SHORT,2025-01-09 12:00:00+00:00,91747.0,2025-01-09 20:00:00+00:00,2025-01-10 00:00:00+00:00,92506.0,92674.9,92168.20000000001,0.001825827513890928,True,2025-01-10 00:10:00+00:00,92674.9,-0.001825827513890932,-1.3129137569454659,SL,10.0
reference_validation,LONG,2025-01-17 16:00:00+00:00,105784.0,2025-01-19 04:00:00+00:00,2025-01-19 08:00:00+00:00,105151.8,104214.6,107026.2,0.008912828881673895,True,2025-01-19 09:05:00+00:00,104214.6,-0.008912828881673884,-4.856414440836943,SL,65.0
reference_validation,SHORT,2025-01-13 12:00:00+00:00,88909.0,2025-02-25 04:00:00+00:00,2025-02-25 08:00:00+00:00,89262.8,92287.0,83214.40000000001,0.03387973489516346,True,2025-02-26 20:10:00+00:00,83214.40000000001,0.06775946979032688,33.47973489516344,TP_2R,2170.0
reference_validation,SHORT,2025-02-28 08:00:00+00:00,78200.2,2025-03-10 16:00:00+00:00,2025-03-10 20:00:00+00:00,79035.3,80217.6,76670.7,0.014959138511525898,True,2025-03-11 00:50:00+00:00,76670.7,0.02991827702305183,14.559138511525916,TP_2R,290.0
reference_validation,SHORT,2025-04-07 04:00:00+00:00,74457.0,2025-04-09 00:00:00+00:00,2025-04-09 04:00:00+00:00,75039.9,76834.6,71450.49999999997,0.0239166096969747,True,2025-04-09 04:45:00+00:00,76834.6,-0.023916609696974733,-12.358304848487366,SL,45.0
reference_validation,LONG,2025-01-20 04:00:00+00:00,110000.0,2025-05-21 16:00:00+00:00,2025-05-21 20:00:00+00:00,108547.2,106085.3,113470.99999999999,0.022680456059667998,True,2025-05-29 17:40:00+00:00,106085.3,-0.022680456059667953,-11.740228029833977,SL,11380.0
reference_validation,LONG,2025-07-11 08:00:00+00:00,118882.8,2025-07-13 12:00:00+00:00,2025-07-13 16:00:00+00:00,118610.6,117933.4,119965.00000000003,0.00570943912264175,True,2025-07-14 02:45:00+00:00,119965.00000000003,0.011418878245283537,5.309439122641768,TP_2R,645.0
reference_validation,LONG,2025-08-14 00:00:00+00:00,124545.6,2025-10-05 00:00:00+00:00,2025-10-05 04:00:00+00:00,123735.7,122088.1,127030.89999999998,0.013315478071405353,True,2025-10-07 15:05:00+00:00,122088.1,-0.013315478071405318,-7.057739035702659,SL,3545.0
reference_validation,SHORT,2026-02-06 00:00:00+00:00,59800.0,2026-06-05 16:00:00+00:00,2026-06-05 20:00:00+00:00,60267.4,61550.0,57702.200000000004,0.021281820685810214,True,2026-06-05 20:50:00+00:00,61550.0,-0.021281820685810304,-11.040910342905152,SL,50.0
reference_validation,SHORT,2026-06-25 12:00:00+00:00,58030.0,2026-07-01 00:00:00+00:00,2026-07-01 04:00:00+00:00,59169.7,59298.4,58912.29999999999,0.002175099755449231,True,2026-07-01 04:40:00+00:00,59298.4,-0.0021750997554492724,-1.487549877724636,SL,40.0
august,LONG,2026-08-01 08:00:00+00:00,63126.6,2026-08-01 16:00:00+00:00,2026-08-01 20:00:00+00:00,62502.1,62228.8,63048.69999999999,0.004372653078856481,True,2026-08-02 01:15:00+00:00,63048.69999999999,0.008745306157712962,3.972653078856481,TP_2R,315.0
august,LONG,2026-08-02 04:00:00+00:00,63620.0,2026-08-02 16:00:00+00:00,2026-08-02 20:00:00+00:00,63433.0,63038.0,64223.0,0.0062270427064777005,True,2026-08-03 03:30:00+00:00,63038.0,-0.00622704270647767,-3.513521353238835,SL,450.0
august,SHORT,2026-08-01 16:00:00+00:00,62228.8,2026-08-03 08:00:00+00:00,2026-08-03 12:00:00+00:00,62534.1,62846.3,61909.69999999999,0.004992476105037161,True,2026-08-03 13:15:00+00:00,62846.3,-0.004992476105037058,-2.896238052518529,SL,75.0
august,LONG,2026-08-03 16:00:00+00:00,64058.8,2026-08-04 00:00:00+00:00,2026-08-04 04:00:00+00:00,63771.0,63290.2,64732.600000000006,0.007539477191827052,True,2026-08-05 16:25:00+00:00,64732.600000000006,0.01507895438365403,7.139477191827015,TP_2R,2185.0
august,LONG,2026-08-05 20:00:00+00:00,65022.0,2026-08-06 04:00:00+00:00,2026-08-06 08:00:00+00:00,64789.3,64461.9,65444.100000000006,0.005053303554753662,True,2026-08-06 12:05:00+00:00,64461.9,-0.005053303554753641,-2.9266517773768204,SL,245.0
august,LONG,2026-08-08 12:00:00+00:00,65163.0,2026-08-08 20:00:00+00:00,2026-08-09 00:00:00+00:00,64928.6,64907.9,64969.99999999999,0.0003188117408968789,True,2026-08-09 01:00:00+00:00,64969.99999999999,0.0006376234817937476,-0.08118825910312621,TP_2R,60.0
august,LONG,2026-08-09 12:00:00+00:00,65279.9,2026-08-09 20:00:00+00:00,2026-08-10 00:00:00+00:00,64867.8,64805.1,64993.20000000001,0.0009665812621979528,True,2026-08-10 00:05:00+00:00,64993.20000000001,0.0019331625243959039,0.5665812621979519,TP_2R,5.0
