partition,tf,week,week_start,signal_ts,signal_idx,side,eligible,net_positive,sr_dist,sr_sweep,sr_room,pw_dist,pw_sweep,pw_pos,orb_near,orb_state,orb_reclaim,fvg_dist,fvg_touch,fib_dist,fib_touch,body_align,reject_wick,entry_ts,exit_ts,entry,sl,tp,risk_frac,net_ret,reason,prob,route,threshold
external,H4,2021-W09,2021-03-01 00:00:00+00:00,2021-03-01 16:00:00+00:00,2534,SHORT,True,0,0.5915088939011187,1.0,3.0581633358431253,9.0,0.0,0.5,0.8362903783276302,-1.3762902707059046,0.0,9.0,0.0,9.0,0.0,0.5245822517694481,0.15674939328249884,2021-03-01 20:00:00+00:00,2021-03-02 00:00:00+00:00,48279.27,50004.89071428571,46408.81147571428,0.03574247734660682,-0.03724247734660685,SL,0.532349773657628,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W10,2021-03-08 00:00:00+00:00,2021-03-12 12:00:00+00:00,2599,SHORT,True,0,0.8300155773213272,0.0,2.5868065276127106,9.0,0.0,0.5,0.22757657914919566,0.26959328375822517,0.0,9.0,0.0,9.0,0.0,-0.29633178152117473,0.1030739153945337,2021-03-12 16:00:00+00:00,2021-03-13 08:00:00+00:00,57007.49,58535.81071428571,55308.14681571428,0.026809121297670054,-0.028309121297669992,SL,0.45647597423511393,FORCED_FALLBACK,0.4999535863744016
external,H4,2021-W11,2021-03-15 00:00:00+00:00,2021-03-18 16:00:00+00:00,2636,SHORT,True,0,1.4473971024455523,1.0,2.470256795609566,9.0,0.0,0.5,0.8021576898829346,1.0932108350964835,1.0,9.0,0.0,9.0,0.0,1.3705644733484799,0.5630300952494524,2021-03-18 20:00:00+00:00,2021-03-19 12:00:00+00:00,57359.68,58988.93571428571,55558.34524571429,0.028404198110688787,-0.02990419811068884,SL,0.5031135871485294,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W12,2021-03-22 00:00:00+00:00,2021-03-26 12:00:00+00:00,2683,SHORT,True,0,2.5360900285455283,0.0,1.867848372487772,9.0,0.0,0.5,0.3675624534772894,-0.855418663809797,0.0,0.294163588341559,1.0,0.5939531936898402,0.0,-0.3697765286695808,0.1478430854209161,2021-03-26 16:00:00+00:00,2021-03-26 20:00:00+00:00,53328.22,54868.366428571426,51628.088911428575,0.028880514455037636,-0.0303805144550377,SL,0.43918860451846703,FORCED_FALLBACK,0.4999535863744016
external,H4,2021-W13,2021-03-29 00:00:00+00:00,2021-04-02 12:00:00+00:00,2725,SHORT,False,1,0.7997167384338755,0.0,2.573212297690708,9.0,0.0,0.5,0.7997167384338755,-0.08345667797876344,0.0,9.0,0.0,9.0,0.0,0.10053366855305905,0.05768834105875223,2021-04-02 16:00:00+00:00,2021-04-03 12:00:00+00:00,59548.71,60611.83642857143,58306.93744142857,0.017853055566970776,0.009582859729455108,TIME,0.46160817973473645,FORCED_FALLBACK,0.4999535863744016
external,H4,2021-W14,2021-04-05 00:00:00+00:00,2021-04-07 12:00:00+00:00,2755,LONG,True,1,0.6464313292591967,1.0,2.8780227624327024,9.0,0.0,0.5,0.6669196415540461,-1.1572785120830897,0.0,9.0,0.0,9.0,0.0,0.14241513179018334,0.6545114886864514,2021-04-07 16:00:00+00:00,2021-04-08 12:00:00+00:00,56524.25,55447.53857142857,57770.53417857143,0.019048663689857505,0.020548663689857583,TP,0.5057022712252526,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W15,2021-04-12 00:00:00+00:00,2021-04-13 16:00:00+00:00,2792,SHORT,True,0,0.6572542561056126,1.0,4.295771387078696,9.0,0.0,0.5,1.7359254513931826,-2.3468768827232718,0.0,9.0,0.0,9.0,0.0,0.309897895559334,0.3943175629635309,2021-04-13 20:00:00+00:00,2021-04-14 04:00:00+00:00,63084.72,64170.72285714286,61809.46298285714,0.017214990526118808,-0.018714990526118747,SL,0.5022961699773076,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W16,2021-04-19 00:00:00+00:00,2021-04-22 16:00:00+00:00,2846,LONG,True,0,0.2619495985443453,1.0,2.7615449642358256,9.0,0.0,0.5,0.2619495985443453,-0.37651308317597626,0.0,9.0,0.0,9.0,0.0,-1.0440639030114767,0.4285283510335765,2021-04-22 20:00:00+00:00,2021-04-22 20:00:00+00:00,52944.7,51281.822857142855,54766.41124285714,0.03140781122297686,-0.03290781122297687,SL,0.5052981224970661,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W17,2021-04-26 00:00:00+00:00,2021-04-26 04:00:00+00:00,2867,SHORT,True,0,0.09586764204192876,1.0,3.9928930576231254,9.0,0.0,0.5,0.214380970102965,-1.4820102189554654,0.0,9.0,0.0,9.0,0.0,-0.26883780703386473,0.18724413844436183,2021-04-26 08:00:00+00:00,2021-04-26 16:00:00+00:00,52816.01,54290.02142857143,51183.55054142857,0.027908420734005235,-0.029408420734005236,SL,0.5113660469669891,MODEL_TRIGGER,0.4999535863744016
external,H4,2021-W18,2021-05-03 00:00:00+00:00,2021-05-04 16:00:00+00:00,2918,LONG,True,0,0.747147755085092,1.0,3.2483714990928974,9.0,0.0,0.5,0.09910276075610187,-0.9195583620776945,0.0,9.0,0.0,9.0,0.0,0.5159491607685591,0.4784794948260131,2021-05-04 20:00:00+00:00,2021-05-04 20:00:00+00:00,54587.94,53211.893571428576,56127.75024857142,0.02520788343673397,-0.02670788343673397,SL,0.5174357897405716,MODEL_TRIGGER,0.4999535863744016
