cohort,horizon_min,threshold_pct,n,tp_hit_rate,up_touch_rate,down_touch_rate,symmetric_first_touch_wr,median_mfe_pct,p75_mfe_pct,median_mae_pct
5M_ON_WHILE_4H_BULL,15,0.25,5563,0.2281143268020852,0.2281143268020852,0.21642998382167894,0.5131419328750505,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,15,0.3,5563,0.1840733417220924,0.1840733417220924,0.1718497213733597,0.5171717171717172,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,15,0.4,5563,0.12439331296063275,0.12439331296063275,0.10821499191083947,0.5347758887171561,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,15,0.5,5563,0.08484630595002697,0.08484630595002697,0.06884774402300917,0.552046783625731,0.11725965284272721,0.2478448282526191,-0.12077566820942742
5M_ON_WHILE_4H_BULL,30,0.1,5563,0.42297321589070647,0.42297321589070647,0.5320870034154234,0.44287596461509504,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.15,5563,0.417580442207442,0.417580442207442,0.45191443465755887,0.480256357246227,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.2,5563,0.37695488046018333,0.37695488046018333,0.3810893402840194,0.49727294285036755,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.25,5563,0.32464497573251844,0.32464497573251844,0.3194319611720295,0.5040468880826123,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.3,5563,0.28707531907244294,0.28707531907244294,0.26586374258493617,0.5191807542262679,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.4,5563,0.21481215171669962,0.21481215171669962,0.19126370663311162,0.5289951305887561,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,30,0.5,5563,0.1651986338306669,0.1651986338306669,0.13607765594103902,0.5483293556085919,0.1717277965791686,0.36782416883063274,-0.1758488667721103
5M_ON_WHILE_4H_BULL,60,0.1,5562,0.43833153541891406,0.43833153541891406,0.5474649406688241,0.44464709100857197,0.25124890850538595,0.5554519544253955,-0.2540649837519504
5M_ON_WHILE_4H_BULL,60,0.15,5562,0.45289464221503056,0.45289464221503056,0.4942466738583243,0.4781700835231587,0.25124890850538595,0.5554519544253955,-0.2540649837519504
