clock_min,clock,partition,windows,k1,executed,wr,pf,exp,net,tp_rate,time_rate
840,14:00,reference_validation,410,69,18,0.5555555555555556,0.7241827204367797,-0.4176326133137505,-7.5173870396475095,0.4444444444444444,0.4444444444444444
840,14:00,august,13,2,1,0.0,0.0,-1.058656128168622,-1.058656128168622,0.0,1.0
870,14:30,external,522,119,22,0.5454545454545454,0.9137340521691105,-0.2162939360141047,-4.758466592310303,0.3181818181818182,0.5454545454545454
870,14:30,development,781,133,43,0.37209302325581395,0.31209795308456095,-2.0295030907059837,-87.2686329003573,0.3023255813953488,0.4883720930232558
870,14:30,reference_validation,410,77,20,0.55,0.8843129703539823,-0.14652675778724336,-2.930535155744867,0.45,0.5
870,14:30,august,13,2,0,,,,0.0,,
900,15:00,external,522,120,30,0.4,0.5856468697439788,-1.422611517428927,-42.678345522867815,0.3333333333333333,0.5333333333333333
900,15:00,development,781,146,44,0.4090909090909091,0.3832253530186217,-2.194547277092883,-96.56008019208684,0.38636363636363635,0.36363636363636365
900,15:00,reference_validation,410,71,21,0.5714285714285714,1.7657921388063833,0.7020235033891632,14.742493571172428,0.47619047619047616,0.47619047619047616
900,15:00,august,13,1,0,,,,0.0,,
930,15:30,external,522,124,40,0.525,0.5968040588896305,-1.635209995546313,-65.40839982185253,0.525,0.3
930,15:30,development,781,136,37,0.4864864864864865,0.7645901035191789,-0.44957462687896876,-16.634261194521844,0.43243243243243246,0.4864864864864865
930,15:30,reference_validation,410,77,23,0.4782608695652174,0.6205315829224457,-0.7919320895245312,-18.214438059064218,0.43478260869565216,0.391304347826087
930,15:30,august,13,2,1,0.0,0.0,-0.24353286870553126,-0.24353286870553126,0.0,1.0
960,16:00,external,522,118,34,0.38235294117647056,0.33448143732429264,-2.978054778820104,-101.25386247988354,0.35294117647058826,0.4117647058823529
960,16:00,development,781,139,43,0.6046511627906976,1.332212847330634,0.4046559076895685,17.400204030651444,0.3953488372093023,0.5348837209302325
960,16:00,reference_validation,410,77,21,0.6190476190476191,0.7506584953986145,-0.4296834721346117,-9.023352914826846,0.47619047619047616,0.42857142857142855
960,16:00,august,13,3,1,0.0,0.0,-1.232723376719857,-1.232723376719857,0.0,1.0
990,16:30,external,522,118,34,0.5588235294117647,0.7837374726398971,-0.6023054702347949,-20.478385987983025,0.5588235294117647,0.23529411764705882
990,16:30,development,781,146,42,0.5238095238095238,0.5724124292747,-0.7263324514827699,-30.505962962276335,0.40476190476190477,0.47619047619047616
990,16:30,reference_validation,410,78,24,0.5416666666666666,0.7306147090681578,-0.5169614102809398,-12.407073846742556,0.4583333333333333,0.375
990,16:30,august,13,3,1,0.0,0.0,-0.46099566135209236,-0.46099566135209236,0.0,1.0
1020,17:00,external,522,118,37,0.40540540540540543,0.3310481093643831,-3.009217797209195,-111.34105849674022,0.3783783783783784,0.2702702702702703
1020,17:00,development,781,156,49,0.4489795918367347,0.4914368290706978,-1.0876304811340491,-53.29389357556841,0.40816326530612246,0.40816326530612246
