local_date,action,baseline_win,baseline_failed_before_H,baseline_exit_type,baseline_net_return,transition,entry_ts,entry_px,H,R,ext_R,stop_R,target_px,stop_px,gross_rr,exit_type,exit_ts,exit_px,same_bar_collision,gross_return,net_return,gross_win,net_win,pnl_usd_500,executed,trade_legs,triggered,repair_reentered,trigger_ts,trigger_r,first_leg_exit_ts,first_leg_exit_px,repair_entry_ts,repair_entry_px,repair_signal_ts
2022-03-18,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.0031199280945045107,W_TO_W,2022-03-18 15:00:00+00:00,389.4,389.54,5.53000000000003,0.3,0.3,391.199,387.741,1.084388185654035,TP,2022-03-18 15:35:00+00:00,391.199,False,0.004619928094504511,0.0031199280945045107,True,True,1.5599640472522553,True,1,False,False,,0.05,,,,,
2022-04-18,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.011438471806787977,W_TO_W,2022-04-18 14:00:00+00:00,404.53,406.59,10.579999999999984,0.3,0.3,409.76399999999995,401.356,1.6490233144297468,TP,2022-04-18 17:05:00+00:00,409.76399999999995,False,0.012938471806787977,0.011438471806787977,True,True,5.719235903393988,True,1,False,False,,0.05,,,,,
2022-05-19,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.02067744621328177,W_TO_W,2022-05-19 13:55:00+00:00,300.26,303.76,10.529999999999973,0.3,0.3,306.919,297.101,2.10794555239,TP,2022-05-19 15:30:00+00:00,306.919,False,0.02217744621328177,0.02067744621328177,True,True,10.338723106640884,True,1,False,False,,0.05,,,,,
2022-07-06,T05_EXIT_REENTER_FRESH_MICROHL,False,True,SL,-0.008490266717229132,L_TO_L,2022-07-06 13:55:00+00:00,237.33,238.99,5.530000000000001,,,,,,REPAIR_SL,2022-07-06 14:10:00+00:00,236.67100000000002,,,-0.008654738395834524,,False,-4.327369197917262,True,2,True,True,2022-07-06 13:55:00+00:00,0.05,2022-07-06 14:00:00+00:00,237.64,2022-07-06 14:10:00+00:00,238.33,2022-07-06 14:05:00+00:00
2022-07-11,T05_EXIT_REENTER_FRESH_MICROHL,True,False,SESSION_CLOSE,0.0034425536527205604,W_TO_W,2022-07-11 14:10:00+00:00,230.65,233.37,5.5800000000000125,,,,,,REPAIR_SESSION_CLOSE,2022-07-11 19:55:00+00:00,231.79,,,0.00017120068333498564,,True,0.08560034166749282,True,2,True,True,2022-07-11 14:20:00+00:00,0.05,2022-07-11 14:25:00+00:00,230.0,2022-07-11 14:30:00+00:00,230.41,2022-07-11 14:25:00+00:00
2022-07-19,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.015976468122403775,W_TO_L,2022-07-19 13:55:00+00:00,262.41,264.71,7.6200000000000045,,,,,,REPAIR_SL,2022-07-19 15:20:00+00:00,260.394,,,-0.01029259668815696,,False,-5.14629834407848,True,2,True,True,2022-07-19 14:05:00+00:00,0.05,2022-07-19 14:10:00+00:00,262.78,2022-07-19 14:25:00+00:00,262.68,2022-07-19 14:20:00+00:00
2022-07-20,T05_EXIT_REENTER_FRESH_MICROHL,False,False,SL,-0.009770396964172865,L_TO_L,2022-07-20 14:15:00+00:00,268.79,270.92,7.410000000000025,0.3,0.3,273.14300000000003,266.567,1.9581646423751609,SL,2022-07-20 16:30:00+00:00,266.567,False,-0.008270396964172866,-0.009770396964172865,False,False,-4.885198482086433,True,1,False,False,,0.05,,,,,
2022-07-28,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.02303555413196673,W_TO_W,2022-07-28 14:00:00+00:00,265.37,269.97,6.3700000000000045,,,,,,REPAIR_TP,2022-07-28 15:25:00+00:00,271.88100000000003,,,0.017540989419941533,,True,8.770494709970766,True,2,True,True,2022-07-28 14:05:00+00:00,0.05,2022-07-28 14:10:00+00:00,265.99,2022-07-28 14:15:00+00:00,267.02,2022-07-28 14:10:00+00:00
2022-09-07,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.0076845558103687,W_TO_W,2022-09-07 14:10:00+00:00,265.99,266.93,5.009999999999991,,,,,,REPAIR_TP,2022-09-07 16:35:00+00:00,268.433,,,0.0020296854389343397,,True,1.0148427194671699,True,2,True,True,2022-09-07 14:10:00+00:00,0.05,2022-09-07 14:15:00+00:00,265.77,2022-09-07 14:30:00+00:00,266.87,2022-09-07 14:25:00+00:00
2022-09-22,T05_EXIT_REENTER_FRESH_MICROHL,True,False,TP,0.00870128764893058,W_TO_W,2022-09-22 18:25:00+00:00,270.26,271.19,6.089999999999975,0.3,0.3,273.017,268.433,1.5090311986863754,TP,2022-09-22 19:25:00+00:00,273.017,False,0.01020128764893058,0.00870128764893058,True,True,4.35064382446529,True,1,False,False,,0.05,,,,,
