hour_wib,character_rule,raw_component_id,component_size,halo_cell_count,halo_economic_support_count,halo_economic_support_ratio,component_min_half_exp_floor,component_min_half_exp_mean,component_exp_floor,component_exp_mean,component_pf_median,component_dd_max,component_wr_min,component_wr_mean,component_trade_sum,min_lb,max_lb,min_hold,max_hold,component_cells
14,DRIVE_UP__STR_B80_100,1,2,7,2,0.2857142857142857,0.0799869489631594,0.3745252521461986,1.1147060840780798,1.519492565112432,1.658903564363805,123.51308166964655,0.6195652173913043,0.6724199713330148,183,240,360,360,360,LB240/H360;LB360/H360
14,EFF_HIGH__EXT_HIGH,1,1,4,1,0.25,0.5465047456011771,0.5465047456011771,0.8054211611248545,0.8054211611248545,1.2271528649425274,86.13188180401517,0.6266666666666667,0.6266666666666667,150,60,60,360,360,LB60/H360
14,EFF_HIGH__RANGE_LOW,1,2,5,2,0.4,0.3757909487051009,0.97458350242499,0.7733035521463495,1.3170725052646248,1.3961563695919414,96.616783112544,0.5666666666666667,0.6,120,60,60,360,480,LB60/H360;LB60/H480
14,EFF_HIGH__RANGE_MID,1,4,11,6,0.5454545454545454,0.3101701653182788,0.7058692060157201,1.0662476231012468,1.1737719980041512,1.4136025503419116,99.621771736964,0.5698924731182796,0.5858353116417633,375,60,180,240,360,LB120/H240;LB60/H360;LB120/H360;LB180/H360
14,EFF_HIGH__RV_LOW,1,3,7,5,0.7142857142857143,0.5712261822535362,1.1093675427275198,0.7988200389647345,1.2703873975222661,1.3438606444789336,115.76185446251208,0.5700934579439252,0.6012815066553384,302,60,120,360,480,LB60/H360;LB120/H360;LB60/H480
14,EFF_HIGH__RV_MID,1,1,4,1,0.25,0.3287768721127653,0.3287768721127653,1.0706522087937007,1.0706522087937007,1.2840280401885882,82.77323393360105,0.6455696202531646,0.6455696202531646,79,60,60,360,360,LB60/H360
14,EFF_HIGH__RV_MID,2,1,5,1,0.2,0.1054389606651815,0.1054389606651815,1.2570915267416631,1.2570915267416631,1.4617855899014902,103.7693700799511,0.6346153846153846,0.6346153846153846,104,180,180,360,360,LB180/H360
14,EFF_LOW__EXT_MID,1,2,8,3,0.375,0.239888122719527,0.3996761940762321,0.8009453284748577,0.9029575783550039,1.3719365162897228,80.20293249834971,0.5671641791044776,0.5863989909606895,138,120,180,360,360,LB120/H360;LB180/H360
14,EFF_LOW__RANGE_MID,1,1,5,1,0.2,0.2945857364829327,0.2945857364829327,1.087484123287527,1.087484123287527,1.4236951446724366,88.85387441876526,0.6818181818181818,0.6818181818181818,66,240,240,360,360,LB240/H360
14,EFF_LOW__RV_HIGH,1,1,5,2,0.4,2.443814519194007,2.443814519194007,3.01142541264298,3.01142541264298,1.9646949036386772,53.23484697456986,0.7246376811594203,0.7246376811594203,69,120,120,360,360,LB120/H360
14,EFF_LOW__RV_HIGH,2,1,4,2,0.5,0.1213584592589699,0.1213584592589699,3.152448628006391,3.152448628006391,2.460353313790762,61.02399986351631,0.704225352112676,0.704225352112676,71,360,360,360,360,LB360/H360
14,EFF_LOW__RV_MID,1,1,5,2,0.4,0.0494837577357135,0.0494837577357135,1.0502644850488485,1.0502644850488485,1.5268003254995106,78.97925283475433,0.6666666666666666,0.6666666666666666,72,240,240,240,240,LB240/H240
14,RV_LOW__RANGE_MID,1,3,7,4,0.5714285714285714,0.4664956454976193,1.160728944477485,0.5158191954565844,1.3578828750484915,1.4933238897393295,65.79235387393175,0.5921052631578947,0.6403508771929824,228,60,60,240,480,LB60/H240;LB60/H360;LB60/H480
14,RV_MID__RANGE_HIGH,1,3,10,3,0.3,0.1551460484232295,1.2694182568973107,1.4061370715534025,2.2403574792041914,1.844731682294652,121.71616699310658,0.5666666666666667,0.6277777777777778,180,240,240,240,480,LB240/H240;LB240/H360;LB240/H480
14,STR_B40_60,1,2,6,3,0.5,0.3262221102051162,0.38754003138442455,0.8219811760225034,0.9422882051121002,1.4099600887761423,117.18912895851564,0.6089743589743589,0.6089743589743589,312,360,360,240,360,LB360/H240;LB360/H360
15,DRIVE_DOWN__EXT_LOW,1,1,5,1,0.2,0.196815501976329,0.196815501976329,1.2173141825919795,1.2173141825919795,1.5884826898410038,63.5897833758716,0.5542857142857143,0.5542857142857143,175,120,120,240,240,LB120/H240
15,DRIVE_DOWN__STR_B0_20,1,1,4,1,0.25,0.3314306840541001,0.3314306840541001,0.5806942943052413,0.5806942943052413,1.3453225206548904,38.87112732567705,0.5670103092783505,0.5670103092783505,97,60,60,240,240,LB60/H240
15,DRIVE_UP__EXT_LOW,1,1,5,1,0.2,0.3231479774544205,0.3231479774544205,0.6140889097803205,0.6140889097803205,1.2885951854442823,78.52913784016792,0.5625,0.5625,144,180,180,240,240,LB180/H240
15,DRIVE_UP__STR_B20_40,1,1,5,1,0.2,0.329969245564492,0.329969245564492,1.0136121519121997,1.0136121519121997,1.6767977583669815,34.00948717742597,0.5818181818181818,0.5818181818181818,110,180,180,240,240,LB180/H240
15,DRIVE_UP__STR_B40_60,1,1,4,1,0.25,2.519609719083506,2.519609719083506,2.7660106117283085,2.7660106117283085,2.014294791880181,71.73940896399088,0.5967741935483871,0.5967741935483871,62,180,180,480,480,LB180/H480
15,DRIVE_UP__STR_B60_80,1,1,4,2,0.5,1.0972583408619452,1.0972583408619452,1.468848523743406,1.468848523743406,1.892808288205924,34.44687348688612,0.5714285714285714,0.5714285714285714,84,360,360,240,240,LB360/H240
15,EFF_HIGH__RV_LOW,1,1,3,2,0.6666666666666666,0.1140240922111819,0.1140240922111819,0.5610935486699801,0.5610935486699801,1.5896384230764051,24.341987744027165,0.5824175824175825,0.5824175824175825,91,360,360,120,120,LB360/H120
15,EFF_HIGH__RV_MID,1,1,4,1,0.25,0.1713321119438459,0.1713321119438459,1.042674427163894,1.042674427163894,1.6828026112321428,41.25236323669506,0.6285714285714286,0.6285714285714286,70,60,60,240,240,LB60/H240
15,EFF_LOW__EXT_MID,1,2,8,2,0.25,0.3069851875490758,0.621013627151574,0.8751750017788733,0.9653422658749881,1.4641449243891558,62.343101079853184,0.5733333333333334,0.5733333333333334,150,240,240,240,360,LB240/H240;LB240/H360
15,EFF_LOW__RANGE_MID,1,2,8,2,0.25,1.897828532976192,1.9671053889395118,2.1539762162311216,2.982327802548167,2.7205069158650144,58.47372524807084,0.575,0.575,160,240,240,240,360,LB240/H240;LB240/H360
15,EFF_LOW__RV_HIGH,1,3,10,3,0.3,0.4804947408245276,1.0857731139920332,1.4447986913975988,2.6977096491185684,1.7080272814426691,83.52574706827536,0.581081081081081,0.602969166349448,219,180,240,240,360,LB180/H240;LB180/H360;LB240/H360
15,EFF_MID__RANGE_MID,1,1,5,1,0.2,0.8418740816296267,0.8418740816296267,0.8823912843682888,0.8823912843682888,1.4794345943800156,43.68042954020567,0.5517241379310345,0.5517241379310345,87,240,240,240,240,LB240/H240
15,RV_HIGH__RANGE_MID,1,1,4,1,0.25,0.2663216284921233,0.2663216284921233,0.7055885130440128,0.7055885130440128,1.2482860601092909,106.804948944966,0.6065573770491803,0.6065573770491803,61,60,60,240,240,LB60/H240
15,RV_MID__RANGE_HIGH,1,2,7,4,0.5714285714285714,0.2388824915361085,0.4510595985065968,1.0725477909726249,1.183721588091891,1.7616518672788102,66.83966288094001,0.5753424657534246,0.5890410958904109,146,240,240,120,240,LB240/H120;LB240/H240
16,DRIVE_DOWN__EFF_LOW,1,1,5,1,0.2,1.0357356073668238,1.0357356073668238,1.2665528421791974,1.2665528421791974,1.6568821743827122,55.64787294252302,0.5806451612903226,0.5806451612903226,155,120,120,240,240,LB120/H240
16,DRIVE_DOWN__STR_B0_20,1,2,8,2,0.25,0.1442553477498432,0.47666952546089303,0.9783186585777732,0.9908989982533211,1.489006731800897,67.89324837534117,0.5757575757575758,0.5819964349376114,201,120,180,240,240,LB120/H240;LB180/H240
16,DRIVE_DOWN__STR_B20_40,1,1,4,1,0.25,0.0258324329545012,0.0258324329545012,0.6806837068880831,0.6806837068880831,1.5600433833218723,35.03584212400536,0.5591397849462365,0.5591397849462365,93,180,180,120,120,LB180/H120
16,DRIVE_UP__EXT_LOW,1,1,4,1,0.25,0.8869299053757942,0.8869299053757942,1.778713566992322,1.778713566992322,1.8918865810777323,51.16795484906666,0.567741935483871,0.567741935483871,155,60,60,240,240,LB60/H240
16,DRIVE_UP__RV_LOW,1,1,5,1,0.2,1.504527809598726,1.504527809598726,1.9688886122086828,1.9688886122086828,1.8142353622662728,89.7772647568446,0.5527638190954773,0.5527638190954773,199,240,240,360,360,LB240/H360
16,DRIVE_UP__STR_B0_20,1,1,4,2,0.5,1.0710036995203798,1.0710036995203798,1.202963674340756,1.202963674340756,1.5164289373077553,80.23329306344912,0.5858585858585859,0.5858585858585859,99,60,60,240,240,LB60/H240
16,DRIVE_UP__STR_B20_40,1,1,3,1,0.3333333333333333,0.3490672771745835,0.3490672771745835,0.9560910369818834,0.9560910369818834,2.0468261508121213,10.961106657620686,0.6125,0.6125,80,360,360,120,120,LB360/H120
16,DRIVE_UP__STR_B20_40,2,1,5,1,0.2,0.8181883146096571,0.8181883146096571,0.8736780556435917,0.8736780556435917,1.291782189679975,56.84797915454624,0.5822784810126582,0.5822784810126582,79,240,240,360,360,LB240/H360
16,EFF_HIGH__RANGE_LOW,1,1,4,1,0.25,0.892212210334992,0.892212210334992,1.330445602003021,1.330445602003021,1.763730856046614,37.53397519194391,0.5757575757575758,0.5757575757575758,66,60,60,240,240,LB60/H240
16,EFF_LOW__EXT_LOW,1,1,4,1,0.25,0.1154576440752198,0.1154576440752198,1.0847038306272323,1.0847038306272323,1.4890280925181762,51.27987362645907,0.5672514619883041,0.5672514619883041,171,60,60,240,240,LB60/H240
