clock,side,level,partition,k1,clean,clean_h2_rate,fills,fill_rate,h2,opposite,no_h2,h2_hit_rate,resolved_h2_wr,median_min_to_h2,median_mae_ru,tail_fraction,screen
RAW_2330,LONG,F90,POOLED_MAJOR,324,225,0.7733333333333333,148,0.6577777777777778,112,3,33,0.7567567567567568,0.9739130434782609,25.0,0.1441857636354782,0.3460915953390444,SCREEN_PASS
RAW_2330,LONG,F85,external,80,51,0.8235294117647058,38,0.7450980392156863,33,0,5,0.868421052631579,1.0,40.0,0.1454240956405236,0.36320812355841336,
RAW_2330,LONG,F85,development,168,120,0.75,74,0.6166666666666667,49,2,23,0.6621621621621622,0.9607843137254902,35.0,0.17975479929702154,0.15945252111031527,
RAW_2330,LONG,F85,reference_validation,76,54,0.7777777777777778,34,0.6296296296296297,23,4,7,0.6764705882352942,0.8518518518518519,35.0,0.18911758348130125,0.0040883264518666515,
RAW_2330,LONG,F85,august,2,2,1.0,2,1.0,2,0,0,1.0,1.0,87.5,0.3261378762711119,0.30556990638271575,
RAW_2330,LONG,F85,POOLED_MAJOR,324,225,0.7733333333333333,146,0.6488888888888888,105,6,35,0.7191780821917808,0.9459459459459459,35.0,0.16252550517866443,0.1681597347954961,
RAW_2330,LONG,F80,external,80,51,0.8235294117647058,35,0.6862745098039216,28,2,5,0.8,0.9333333333333333,42.5,0.13438485804416467,0.28540890539162916,
RAW_2330,LONG,F80,development,168,120,0.75,64,0.5333333333333333,37,2,25,0.578125,0.9487179487179487,55.0,0.18414693507662294,0.1569435274382711,
RAW_2330,LONG,F80,reference_validation,76,54,0.7777777777777778,29,0.5370370370370371,19,4,6,0.6551724137931034,0.8260869565217391,40.0,0.21199707388442357,-0.06397569780297713,
RAW_2330,LONG,F80,august,2,2,1.0,2,1.0,2,0,0,1.0,1.0,87.5,0.2761378762711119,0.30556990638271575,
RAW_2330,LONG,F80,POOLED_MAJOR,324,225,0.7733333333333333,128,0.5688888888888889,84,8,36,0.65625,0.9130434782608695,47.5,0.16931241726493484,0.13456279711817984,
RAW_2330,LONG,F75,external,80,51,0.8235294117647058,29,0.5686274509803921,21,3,5,0.7241379310344828,0.875,60.0,0.13056548586285488,0.00043956043955883754,
RAW_2330,LONG,F75,development,168,120,0.75,57,0.475,31,3,23,0.543859649122807,0.9117647058823529,65.0,0.18624018671759168,0.10180190475062612,
RAW_2330,LONG,F75,reference_validation,76,54,0.7777777777777778,24,0.4444444444444444,14,4,6,0.5833333333333334,0.7777777777777778,77.5,0.17606881334224422,-0.08364062809595582,
RAW_2330,LONG,F75,august,2,2,1.0,1,0.5,1,0,0,1.0,1.0,150.0,0.49900314795382733,0.25099685204617267,
RAW_2330,LONG,F75,POOLED_MAJOR,324,225,0.7733333333333333,110,0.4888888888888889,66,10,34,0.6,0.868421052631579,62.5,0.17114880581988268,-0.006845856845862994,
SHORT_2000,SHORT,F05,external,96,60,0.75,25,0.4166666666666667,18,3,4,0.72,0.8571428571428571,10.0,0.159579320831217,0.950262357648737,
SHORT_2000,SHORT,F05,development,132,95,0.7578947368421053,35,0.3684210526315789,32,1,2,0.9142857142857143,0.9696969696969697,22.5,0.1243093135858757,0.40859242740771234,
SHORT_2000,SHORT,F05,reference_validation,80,50,0.66,25,0.5,18,0,7,0.72,1.0,5.0,0.1456072351421217,0.5320094380803293,
SHORT_2000,SHORT,F05,august,6,5,1.0,1,0.2,1,0,0,1.0,1.0,10.0,0.21458752515089208,0.26458752515089207,
SHORT_2000,SHORT,F05,POOLED_MAJOR,308,205,0.7317073170731707,85,0.4146341463414634,68,4,13,0.8,0.9444444444444444,15.0,0.14883040935672176,0.5142083010030385,
SHORT_2000,SHORT,F10,external,96,60,0.75,39,0.65,28,3,8,0.717948717948718,0.9032258064516129,22.5,0.1730190910626768,0.7203260691164395,
SHORT_2000,SHORT,F10,development,132,95,0.7578947368421053,61,0.6421052631578947,50,2,9,0.819672131147541,0.9615384615384616,20.0,0.11909340659340945,0.4839344262295154,
SHORT_2000,SHORT,F10,reference_validation,80,50,0.66,35,0.7,22,3,10,0.6285714285714286,0.88,15.0,0.18702868482770882,1.0426112631811855,
SHORT_2000,SHORT,F10,august,6,5,1.0,3,0.6,3,0,0,1.0,1.0,30.0,0.2298076923076882,0.4819349161653652,
