zone,filter,partition,raw_n,filtered_n,accepted_n,blocked_open,filter_retention,accepted_retention,zone_wins,zone_wr,zone_pf,zone_expectancy,zone_total_net,portfolio_candidates,portfolio_accepted,portfolio_skipped_open,portfolio_wr,portfolio_pf,portfolio_expectancy,portfolio_total_net
RAW_2330,TOUCH_SECOND_HALF,development,31,6,5,1,0.1935483870967742,0.16129032258064516,3,0.6,0.796618259049621,-0.15387463762424028,-0.7693731881212014,66,65,1,0.6923076923076923,1.3783406167622132,0.5001780536673776,32.51157348837954
RAW_2330,TOUCH_SECOND_HALF,reference_validation,19,5,5,0,0.2631578947368421,0.2631578947368421,3,0.6,0.7177666036324639,-0.3664012079631623,-1.8320060398158113,28,28,0,0.8214285714285714,2.1282525732068653,0.6934055726098501,19.415356033075803
RAW_2330,TOUCH_SECOND_HALF,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,K1_FIRST_HALF,external,20,14,14,0,0.7,0.7,12,0.8571428571428571,4.149255051710708,2.0479084361073747,28.670718105503244,61,61,0,0.7868852459016393,2.952862113365309,1.9694310771090222,120.13529570365036
RAW_2330,K1_FIRST_HALF,development,31,25,25,0,0.8064516129032258,0.8064516129032258,17,0.68,1.6695366392098234,0.43271280914965826,10.817820228741457,85,85,0,0.6941176470588235,1.4485853934347295,0.5188090224146142,44.09876690524221
RAW_2330,K1_FIRST_HALF,reference_validation,19,14,14,0,0.7368421052631579,0.7368421052631579,11,0.7857142857142857,3.217677626486328,1.02631948678867,14.36847281504138,37,37,0,0.8378378378378378,3.071133390684719,0.9625901321062973,35.615834887933
RAW_2330,K1_FIRST_HALF,august,0,0,0,0,,,0,,,,0.0,1,1,0,1.0,inf,2.6529477668266304,2.6529477668266304
RAW_2330,K1_SECOND_HALF,external,20,6,4,2,0.3,0.2,2,0.5,3.5134192571984024,1.6794663470648092,6.717865388259237,53,51,2,0.7450980392156863,2.782336002524388,1.9251459409099283,98.18244298640634
RAW_2330,K1_SECOND_HALF,development,31,6,5,1,0.1935483870967742,0.16129032258064516,3,0.6,0.796618259049621,-0.15387463762424028,-0.7693731881212014,66,65,1,0.6923076923076923,1.3783406167622132,0.5001780536673776,32.51157348837954
RAW_2330,K1_SECOND_HALF,reference_validation,19,5,5,0,0.2631578947368421,0.2631578947368421,3,0.6,0.7177666036324639,-0.3664012079631623,-1.8320060398158113,28,28,0,0.8214285714285714,2.1282525732068653,0.6934055726098501,19.415356033075803
