horizon_bars,horizon_minutes,feature,partition,later_h2_n,failure_n,later_h2_median,failure_median,failure_minus_h2_median_gap,expected_direction_ok,partitions_expected_direction,consistent_3of3
8,40,close_path_efficiency,external,12,10,-0.07993014060098869,-0.34627937218873994,-0.26634923158775126,True,3,True
8,40,close_path_efficiency,development,12,14,-0.0027204832553986984,-0.2806919197990546,-0.2779714365436559,True,3,True
8,40,close_path_efficiency,reference_validation,5,5,0.04509545753784384,-0.2529302899444753,-0.29802574748231914,True,3,True
8,40,close_path_efficiency,POOLED_MAJOR,29,29,-0.02211276461957295,-0.2967607105538073,-0.27464794593423436,True,3,True
8,40,adverse_favorable_ratio,external,12,10,2.354075494753215,4.066163996859265,1.7120885021060497,True,3,True
8,40,adverse_favorable_ratio,development,12,14,5.262780017732833,5.964034062447666,0.7012540447148332,True,3,True
8,40,adverse_favorable_ratio,reference_validation,5,5,2.0934386808659817,5.140979689365534,3.0475410084995525,True,3,True
8,40,adverse_favorable_ratio,POOLED_MAJOR,29,29,3.1433070866141506,5.092281943017832,1.948974856403681,True,3,True
12,60,adverse_wick_r,external,9,7,0.23172772501130748,0.30071780984531105,0.06899008483400357,True,2,False
12,60,adverse_wick_r,development,9,11,0.3326002067302181,0.40710306406685376,0.07450285733663564,True,2,False
12,60,adverse_wick_r,reference_validation,3,5,0.528719107606502,0.3952750507321892,-0.13344405687431277,False,2,False
12,60,adverse_wick_r,POOLED_MAJOR,21,23,0.31187499999999774,0.36094725754269896,0.049072257542701225,True,2,False
12,60,favorable_wick_r,external,9,7,0.09500190524577562,0.026138385617994826,-0.0688635196277808,True,3,True
12,60,favorable_wick_r,development,9,11,0.0894904458598755,0.04372937293729373,-0.045761072922581775,True,3,True
12,60,favorable_wick_r,reference_validation,3,5,0.07833623862095185,0.034968897966770454,-0.043367340654181394,True,3,True
12,60,favorable_wick_r,POOLED_MAJOR,21,23,0.0894904458598755,0.034968897966770454,-0.05452154789310505,True,3,True
12,60,adverse_close_r,external,9,7,0.1944660135960612,0.23673628371109912,0.04227027011503792,True,3,True
12,60,adverse_close_r,development,9,11,0.258521878947974,0.34011244668475893,0.08159056773678491,True,3,True
12,60,adverse_close_r,reference_validation,3,5,0.2856188095009265,0.34491249491249965,0.05929368541157315,True,3,True
12,60,adverse_close_r,POOLED_MAJOR,21,23,0.23608058608058874,0.334295004842953,0.09821441876236425,True,3,True
12,60,favorable_close_r,external,9,7,0.035595221142099155,0.0,-0.035595221142099155,True,3,True
12,60,favorable_close_r,development,9,11,0.03536043188313824,0.0,-0.03536043188313824,True,3,True
12,60,favorable_close_r,reference_validation,3,5,0.056337147802665404,0.0,-0.056337147802665404,True,3,True
12,60,favorable_close_r,POOLED_MAJOR,21,23,0.035595221142099155,0.0,-0.035595221142099155,True,3,True
12,60,net_close_progress_r,external,9,7,-0.12020252052339937,-0.20287036340380615,-0.08266784288040678,True,3,True
