partition,regime,clock_block,obs_start,obs_end,fraction,entry_label,fill_ts,entry_price,H,L,R4,LOCAL_R,variant,stop_multiple,target_multiple,nominal_rr,stop_price,target_price,exit_ts,exit_price,exit_reason,gross_return,net_pnl_usd,win,hold_minutes
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S1_5_T1_5,1.5,1.5,1.0,16803.562500000004,16772.5275,2023-01-04 20:50:00+00:00,16803.562500000004,STOP_FILL_BAR,-0.0009243184659084333,-0.8621592329542167,False,0.0
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S1_5_T2,1.5,2.0,1.3333333333333333,16803.562500000004,16767.355,2023-01-04 20:50:00+00:00,16803.562500000004,STOP_FILL_BAR,-0.0009243184659084333,-0.8621592329542167,False,0.0
development,BULL,20-00,2023-01-04 20:00:00+00:00,2023-01-05 00:00:00+00:00,0.05,F05,2023-01-04 20:50:00+00:00,16788.045000000002,16984.6,16777.7,206.89999999999782,10.345000000001164,S2_T2,2.0,2.0,1.0,16808.735000000004,16767.355,2023-01-04 20:50:00+00:00,16808.735000000004,STOP_FILL_BAR,-0.0012324246212112445,-1.0162123106056224,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S1_T1,1.0,1.0,1.0,16794.060000000005,16782.4,2023-01-05 09:35:00+00:00,16794.060000000005,STOP_FILL_BAR,-0.0003472671032027644,-0.5736335516013822,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S1_T1_5,1.0,1.5,1.5,16794.060000000005,16779.485,2023-01-05 09:35:00+00:00,16794.060000000005,STOP_FILL_BAR,-0.0003472671032027644,-0.5736335516013822,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S1_T2,1.0,2.0,2.0,16794.060000000005,16776.57,2023-01-05 09:35:00+00:00,16794.060000000005,STOP_FILL_BAR,-0.0003472671032027644,-0.5736335516013822,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S1_5_T1_5,1.5,1.5,1.0,16796.975000000006,16779.485,2023-01-05 09:35:00+00:00,16796.975000000006,STOP_FILL_BAR,-0.0005209006548041466,-0.6604503274020733,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S1_5_T2,1.5,2.0,1.3333333333333333,16796.975000000006,16776.57,2023-01-05 09:35:00+00:00,16796.975000000006,STOP_FILL_BAR,-0.0005209006548041466,-0.6604503274020733,False,0.0
development,BULL,08-12,2023-01-05 08:00:00+00:00,2023-01-05 12:00:00+00:00,0.1,F10,2023-01-05 09:35:00+00:00,16788.230000000003,16840.7,16782.4,58.29999999999927,5.830000000001746,S2_T2,2.0,2.0,1.0,16799.890000000007,16776.57,2023-01-05 09:35:00+00:00,16799.890000000007,STOP_FILL_BAR,-0.0006945342064055288,-0.7472671032027645,False,0.0
development,BULL,12-16,2023-01-08 12:00:00+00:00,2023-01-08 16:00:00+00:00,0.05,F05,2023-01-08 12:10:00+00:00,16919.91,16960.0,16917.8,42.20000000000073,2.110000000000582,S1_T1,1.0,1.0,1.0,16922.02,16917.8,2023-01-08 12:20:00+00:00,16917.8,TP,0.00012470515505109554,-0.33764742247445223,False,10.0
