partition,tolerance,tol_value,side,signal_ts,entry_ts,swing_level_ts,swing_level,prior_touches,touch_bucket,entry_px,stop_px,target_px,risk_pct,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
reference_validation,TOL_0.10,0.001,LONG,2025-05-22 00:00:00+00:00,2025-05-22 04:00:00+00:00,2025-01-20 04:00:00+00:00,110000.0,1,1,111755.9,109153.4,116960.9,0.0232873611147152,True,2025-05-23 11:50:00+00:00,109153.4,-0.023287361114715188,-12.043680557357595,SL,1910.0
reference_validation,TOL_0.10,0.001,LONG,2025-07-10 16:00:00+00:00,2025-07-10 20:00:00+00:00,2025-05-22 00:00:00+00:00,111866.4,3,3,113246.1,111267.7,117202.90000000002,0.01746991728633488,True,2025-07-10 21:15:00+00:00,117202.90000000002,0.03493983457266969,17.06991728633485,TP_2R,75.0
reference_validation,TOL_0.10,0.001,LONG,2025-07-11 04:00:00+00:00,2025-07-11 08:00:00+00:00,2025-07-10 20:00:00+00:00,117500.0,0,0,117522.7,116429.2,119709.7,0.009304585412009765,True,2025-07-14 02:25:00+00:00,119709.7,0.018609170824019472,8.904585412009736,TP_2R,3985.0
reference_validation,TOL_0.10,0.001,LONG,2025-08-13 20:00:00+00:00,2025-08-14 00:00:00+00:00,2025-07-14 04:00:00+00:00,123300.0,0,0,123323.9,122314.1,125343.49999999997,0.008188193853746016,True,2025-08-14 05:50:00+00:00,122314.1,-0.008188193853746029,-4.494096926873015,SL,350.0
reference_validation,TOL_0.10,0.001,LONG,2025-10-05 04:00:00+00:00,2025-10-05 08:00:00+00:00,2025-08-14 00:00:00+00:00,124545.6,0,0,124692.5,123678.0,126721.5,0.00813601459590593,True,2025-10-05 09:30:00+00:00,123678.0,-0.00813601459590596,-4.468007297952981,SL,90.0
reference_validation,TOL_0.10,0.001,SHORT,2026-02-04 12:00:00+00:00,2026-02-04 16:00:00+00:00,2025-04-07 04:00:00+00:00,74457.0,1,1,74107.0,76245.5,69830.0,0.02885692309768308,True,2026-02-05 12:15:00+00:00,69830.0,0.057713846195366125,28.456923097683063,TP_2R,1215.0
reference_validation,TOL_0.10,0.001,SHORT,2026-06-25 12:00:00+00:00,2026-06-25 16:00:00+00:00,2026-02-06 00:00:00+00:00,59800.0,3,3,59536.2,61742.9,55122.79999999999,0.037064844581951896,True,2026-07-02 13:15:00+00:00,61742.9,-0.03706484458195192,-18.932422290975957,SL,9915.0
august,TOL_0.10,0.001,SHORT,2026-08-01 16:00:00+00:00,2026-08-01 20:00:00+00:00,2026-08-01 08:00:00+00:00,62956.5,0,0,62502.1,63006.6,61493.1,0.00807172878991266,True,2026-08-02 01:15:00+00:00,63006.6,-0.00807172878991258,-4.43586439495629,SL,315.0
august,TOL_0.10,0.001,LONG,2026-08-03 12:00:00+00:00,2026-08-03 16:00:00+00:00,2026-08-02 04:00:00+00:00,63620.0,1,1,63659.5,62400.0,66178.5,0.01978494961474721,True,2026-08-19 15:05:00+00:00,66178.5,0.03956989922949439,19.384949614747196,TP_2R,22985.0
august,TOL_0.10,0.001,LONG,2026-08-20 08:00:00+00:00,2026-08-20 12:00:00+00:00,2026-08-19 12:00:00+00:00,70450.0,0,0,71896.2,69771.8,76144.99999999999,0.029548154144447055,False,,,,,CENSORED,
external,TOL_0.20,0.002,SHORT,2020-01-02 00:00:00+00:00,2020-01-02 04:00:00+00:00,2020-01-01 08:00:00+00:00,7174.0,1,1,7126.94,7209.59,6961.6399999999985,0.011596842403612287,True,2020-01-02 17:00:00+00:00,6961.6399999999985,0.023193684807224613,11.196842403612306,TP_2R,780.0
external,TOL_0.20,0.002,LONG,2020-01-03 08:00:00+00:00,2020-01-03 12:00:00+00:00,2020-01-01 12:00:00+00:00,7260.43,1,1,7338.4,7198.0,7619.199999999999,0.019132235909735045,True,2020-01-06 22:10:00+00:00,7619.199999999999,0.038264471819470014,18.73223590973501,TP_2R,4930.0
external,TOL_0.20,0.002,LONG,2020-01-07 16:00:00+00:00,2020-01-07 20:00:00+00:00,2020-01-07 00:00:00+00:00,8014.91,0,0,8077.71,7733.0,8767.130000000001,0.042674223263771544,True,2020-01-10 06:15:00+00:00,7733.0,-0.04267422326377157,-21.737111631885785,SL,3495.0
external,TOL_0.20,0.002,LONG,2020-01-14 00:00:00+00:00,2020-01-14 04:00:00+00:00,2020-01-08 00:00:00+00:00,8468.42,0,0,8469.54,8109.02,9190.580000000002,0.042566656512632375,True,2020-01-19 02:20:00+00:00,9190.580000000002,0.08513331302526472,42.166656512632365,TP_2R,7100.0
external,TOL_0.20,0.002,LONG,2020-01-28 20:00:00+00:00,2020-01-29 00:00:00+00:00,2020-01-19 00:00:00+00:00,9205.3,1,1,9399.72,9017.46,10164.24,0.040667168809283706,True,2020-02-09 07:40:00+00:00,10164.24,0.08133433761856734,40.267168809283675,TP_2R,16300.0
external,TOL_0.20,0.002,LONG,2020-02-11 12:00:00+00:00,2020-02-11 16:00:00+00:00,2020-02-09 04:00:00+00:00,10184.34,1,1,10204.89,9799.88,11014.91,0.03968783592963768,True,2020-02-15 15:50:00+00:00,9799.88,-0.03968783592963765,-20.243917964818824,SL,5750.0
external,TOL_0.20,0.002,SHORT,2020-03-12 08:00:00+00:00,2020-03-12 12:00:00+00:00,2020-01-02 16:00:00+00:00,6922.0,1,1,6046.39,7470.0,3199.170000000001,0.23544792843332957,True,2020-04-23 14:20:00+00:00,7470.0,-0.2354479284333295,-118.12396421666476,SL,60620.0
external,TOL_0.20,0.002,LONG,2020-07-27 16:00:00+00:00,2020-07-27 20:00:00+00:00,2020-02-11 16:00:00+00:00,10409.96,6,4+,10806.52,10304.1,11811.36,0.04649230279497933,True,2020-08-01 19:25:00+00:00,11811.36,0.09298460558995858,46.09230279497929,TP_2R,7165.0
external,TOL_0.20,0.002,LONG,2020-08-17 12:00:00+00:00,2020-08-17 16:00:00+00:00,2020-08-02 04:00:00+00:00,12154.25,0,0,12443.99,11799.26,13733.449999999999,0.05181055272464857,True,2020-08-19 04:15:00+00:00,11799.26,-0.05181055272464852,-26.305276362324257,SL,2175.0
external,TOL_0.20,0.002,LONG,2020-10-21 12:00:00+00:00,2020-10-21 16:00:00+00:00,2020-08-17 16:00:00+00:00,12499.42,0,0,12729.81,12265.0,13659.429999999998,0.03651350648595694,True,2020-10-27 16:00:00+00:00,13659.429999999998,0.07302701297191394,36.11350648595697,TP_2R,8640.0
external,TOL_0.20,0.002,LONG,2020-10-31 08:00:00+00:00,2020-10-31 12:00:00+00:00,2020-10-28 00:00:00+00:00,13863.0,0,0,13929.61,13500.02,14788.79,0.03084005941300583,True,2020-11-02 08:40:00+00:00,13500.02,-0.030840059413005827,-15.820029706502913,SL,2680.0
