partition,entry_tf,regime,exit_type,n,win_rate,mean_return,median_return,profit_factor,median_hold_h,median_mfe,median_mae,p90_adverse,max_losing_streak
development,5m,R1H4,X_ENTRY_STRUCT50,343,0.27405247813411077,0.0005596644298928313,-0.0015150585921084314,1.2524884184765206,1.1666666666666667,0.003204278306716324,-0.0025285855599803675,-0.006559562796223139,17
reference_validation,5m,R1H4,X_ENTRY_STRUCT50,149,0.30201342281879195,0.0003027642450027274,-0.0014886255361201695,1.169995921753847,1.5,0.0029015974093122843,-0.002201613429298366,-0.004780722941502602,11
august,5m,R1H4,X_ENTRY_STRUCT50,7,0.2857142857142857,0.011640770018522087,-0.0007574384139578116,8.966549395300651,2.3333333333333335,0.003924789787517868,-0.0019577629624597526,-0.003818004422811305,4
external,5m,R1H4,X_1H_WEAK,129,0.3488372093023256,0.0025750333623358475,-0.005501322827955235,1.2883703769675894,12.5,0.014223180780596367,-0.01097337390996822,-0.0262530639935566,8
development,5m,R1H4,X_1H_WEAK,167,0.31736526946107785,0.002146665707639707,-0.004216909586661877,1.3573112465676722,12.25,0.01222859844691837,-0.008137210856142163,-0.019210046892203445,15
reference_validation,5m,R1H4,X_1H_WEAK,82,0.3048780487804878,-0.000690761003186553,-0.004241719992793602,0.8738894352780519,10.583333333333332,0.008012140799009582,-0.007237084258530757,-0.015015682563966293,9
august,5m,R1H4,X_1H_WEAK,4,0.25,0.027898989015911202,-0.003356480176207932,10.170774887813762,21.5,0.0022251443717070662,-0.0050490887426506426,-0.010146109020068428,3
external,5m,R1H4,X_4H_WEAK,81,0.4074074074074074,0.014301169601940446,-0.009120277287411493,1.9580061760086955,39.666666666666664,0.02523510082056646,-0.018405730659986408,-0.05143000293347255,8
development,5m,R1H4,X_4H_WEAK,105,0.3142857142857143,0.006217677333719623,-0.009237645315177678,1.5026228764772758,44.083333333333336,0.0221655245919421,-0.01710843571787124,-0.04127564073689889,12
reference_validation,5m,R1H4,X_4H_WEAK,55,0.3090909090909091,-0.0023202016303580856,-0.007057853511062251,0.7878652897619457,42.083333333333336,0.012299080231582327,-0.014372424244767368,-0.03141462335188834,8
august,5m,R1H4,X_4H_WEAK,2,0.5,0.058029308518838085,0.058029308518838085,16.060832090909095,75.91666666666667,0.06987242046787823,-0.005683215832878563,-0.009249316439405764,1
