partition,seed_ts,anchor_4h_ts,on_1d,stage_index,ret72,eventually_d1,positive72,good_d1_72h,m15_fast_gap,m15_slow_gap,m15_price_pos,m15_bull,h1_fast_gap,h1_slow_gap,h1_price_pos,h1_bull,h4_fast_gap,h4_slow_gap,h4_price_pos,h4_bull,d1_fast_gap,d1_slow_gap,d1_price_pos,d1_bull,score
reference_validation,2025-11-25 17:40:00+00:00,2025-11-30 08:00:00+00:00,,3,0.025860991205399086,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-25 18:50:00+00:00,2025-11-30 08:00:00+00:00,,3,0.03808348056083122,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-25 21:50:00+00:00,2025-11-30 08:00:00+00:00,,3,0.045191083167930524,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-25 22:50:00+00:00,2025-11-30 08:00:00+00:00,,3,0.04231708490449315,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-26 00:45:00+00:00,2025-11-30 08:00:00+00:00,,3,0.03878899527108404,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-26 01:40:00+00:00,2025-11-30 08:00:00+00:00,,3,0.031995226459055504,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-26 19:35:00+00:00,2025-11-30 08:00:00+00:00,,3,0.008800607107249725,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-26 21:25:00+00:00,2025-11-30 08:00:00+00:00,,3,0.010349009507527152,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-27 01:05:00+00:00,2025-11-30 08:00:00+00:00,,3,0.0034403214057083797,0,1,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-27 05:15:00+00:00,2025-11-30 08:00:00+00:00,,3,-0.005763758233353289,0,0,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-27 06:35:00+00:00,2025-11-30 08:00:00+00:00,,3,-0.00457531585339277,0,0,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
reference_validation,2025-11-27 07:00:00+00:00,2025-11-30 08:00:00+00:00,,3,-0.0037895318568487157,0,0,0,0.0008781917179323868,0.001118553960659123,0.0012251043448136322,1.0,0.0010640853518187328,0.002391492419812502,0.0020993241645541594,1.0,0.0025419457116305933,0.0009405259141909448,0.004299919163701681,1.0,-0.05902146044337418,-0.14939590806984643,-0.04385985787473148,0.0,0.07581393349046676
