tf,transition,partition,setup_status,exit_reason,n
5m,ASIA_TO_LONDON,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,1
5m,ASIA_TO_LONDON,external,SIGNAL,SL_RANGE_EDGE,35
5m,ASIA_TO_LONDON,external,SIGNAL,TIME_EXIT_SESSION_END,37
5m,ASIA_TO_LONDON,external,SIGNAL,TP_RANGE_EDGE,31
5m,ASIA_TO_LONDON,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,31
5m,ASIA_TO_LONDON,reference_validation,NO_RETEST,NO_RETEST,45
5m,ASIA_TO_LONDON,reference_validation,SIGNAL,NO_FILL_MIDPOINT,35
5m,ASIA_TO_LONDON,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,198
5m,ASIA_TO_LONDON,reference_validation,SIGNAL,SL_RANGE_EDGE,33
5m,ASIA_TO_LONDON,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,49
5m,ASIA_TO_LONDON,reference_validation,SIGNAL,TP_RANGE_EDGE,20
5m,LONDON_TO_NEWYORK,august,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,3
5m,LONDON_TO_NEWYORK,august,SIGNAL,RANGE_BROKE_BEFORE_FILL,6
5m,LONDON_TO_NEWYORK,august,SIGNAL,SL_RANGE_EDGE,1
5m,LONDON_TO_NEWYORK,august,SIGNAL,TIME_EXIT_SESSION_END,2
5m,LONDON_TO_NEWYORK,august,SIGNAL,TP_RANGE_EDGE,2
5m,LONDON_TO_NEWYORK,development,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,10
5m,LONDON_TO_NEWYORK,development,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,132
5m,LONDON_TO_NEWYORK,development,NO_RETEST,NO_RETEST,20
5m,LONDON_TO_NEWYORK,development,SIGNAL,NO_FILL_MIDPOINT,10
5m,LONDON_TO_NEWYORK,development,SIGNAL,RANGE_BROKE_BEFORE_FILL,338
5m,LONDON_TO_NEWYORK,development,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
5m,LONDON_TO_NEWYORK,development,SIGNAL,SL_RANGE_EDGE,132
5m,LONDON_TO_NEWYORK,development,SIGNAL,TIME_EXIT_SESSION_END,39
5m,LONDON_TO_NEWYORK,development,SIGNAL,TP_RANGE_EDGE,99
5m,LONDON_TO_NEWYORK,external,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,91
5m,LONDON_TO_NEWYORK,external,NO_RETEST,NO_RETEST,63
5m,LONDON_TO_NEWYORK,external,SIGNAL,NO_FILL_MIDPOINT,11
5m,LONDON_TO_NEWYORK,external,SIGNAL,RANGE_BROKE_BEFORE_FILL,251
5m,LONDON_TO_NEWYORK,external,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
5m,LONDON_TO_NEWYORK,external,SIGNAL,SL_RANGE_EDGE,34
5m,LONDON_TO_NEWYORK,external,SIGNAL,TIME_EXIT_SESSION_END,31
5m,LONDON_TO_NEWYORK,external,SIGNAL,TP_RANGE_EDGE,40
5m,LONDON_TO_NEWYORK,reference_validation,AMBIGUOUS_BOTH_ZONES,AMBIGUOUS_BOTH_ZONES,6
5m,LONDON_TO_NEWYORK,reference_validation,BREAK_BEFORE_RETEST,BREAK_BEFORE_RETEST,69
5m,LONDON_TO_NEWYORK,reference_validation,NO_RETEST,NO_RETEST,3
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,NO_FILL_MIDPOINT,4
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,RANGE_BROKE_BEFORE_FILL,174
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_FILL_5M_CONSERVATIVE,2
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,SL_RANGE_EDGE,70
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TIME_EXIT_SESSION_END,7
5m,LONDON_TO_NEWYORK,reference_validation,SIGNAL,TP_RANGE_EDGE,76
