local_date,partition,london_open_utc,ny_open_utc,ny_close_utc,london_utc_offset_hours,ny_utc_offset_hours,reference_minutes,reference_bars,duration_regime,H,L,R,qualified,reason,hi_visits,lo_visits,k1_start,k1_signal,leave,leave_start,leave_ts,terminal,terminal_start,minutes_leave_to_h2
2020-05-15,external,2020-05-15 07:00:00+00:00,2020-05-15 13:30:00+00:00,2020-05-15 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.27,16.049,0.22100000000000009,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-15 15:00:00+00:00,
2020-05-18,external,2020-05-18 07:00:00+00:00,2020-05-18 13:30:00+00:00,2020-05-18 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.68,16.235,0.4450000000000003,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-05-19,external,2020-05-19 07:00:00+00:00,2020-05-19 13:30:00+00:00,2020-05-19 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.219,16.47,0.7490000000000023,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-05-20,external,2020-05-20 07:00:00+00:00,2020-05-20 13:30:00+00:00,2020-05-20 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.255,17.1,0.15499999999999758,True,,1,0,2020-05-20 13:40:00+00:00,2020-05-20 13:45:00+00:00,True,2020-05-20 13:45:00+00:00,2020-05-20 13:50:00+00:00,H2_ARRIVAL,2020-05-20 13:55:00+00:00,10.0
2020-05-21,external,2020-05-21 07:00:00+00:00,2020-05-21 13:30:00+00:00,2020-05-21 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.785,16.4,0.38500000000000156,False,OPPOSITE_VISIT_BEFORE_K1,0,1,,,False,,,OPPOSITE_VISIT_BEFORE_K1,2020-05-21 14:10:00+00:00,
2020-05-22,external,2020-05-22 07:00:00+00:00,2020-05-22 13:30:00+00:00,2020-05-22 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.644,16.21,0.4339999999999975,True,,1,0,2020-05-22 15:25:00+00:00,2020-05-22 15:30:00+00:00,True,2020-05-22 15:30:00+00:00,2020-05-22 15:35:00+00:00,H2_ARRIVAL,2020-05-22 15:35:00+00:00,5.0
2020-05-25,external,2020-05-25 07:00:00+00:00,2020-05-25 13:30:00+00:00,2020-05-25 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.358,16.04,0.3180000000000014,True,,1,0,2020-05-25 17:35:00+00:00,2020-05-25 17:40:00+00:00,False,,,BREAK_DURING_K1,2020-05-25 17:45:00+00:00,
2020-05-26,external,2020-05-26 07:00:00+00:00,2020-05-26 13:30:00+00:00,2020-05-26 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.503,16.096,0.40700000000000003,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-05-26 15:25:00+00:00,
2020-05-27,external,2020-05-27 07:00:00+00:00,2020-05-27 13:30:00+00:00,2020-05-27 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.515,16.229,0.28600000000000136,True,,1,0,2020-05-27 18:00:00+00:00,2020-05-27 18:05:00+00:00,True,2020-05-27 18:05:00+00:00,2020-05-27 18:10:00+00:00,NO_H2_BY_END,,
2020-05-28,external,2020-05-28 07:00:00+00:00,2020-05-28 13:30:00+00:00,2020-05-28 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.627,16.431,0.19599999999999795,True,,1,0,2020-05-28 13:35:00+00:00,2020-05-28 13:40:00+00:00,False,,,BREAK_DURING_K1,2020-05-28 13:55:00+00:00,
2020-05-29,external,2020-05-29 07:00:00+00:00,2020-05-29 13:30:00+00:00,2020-05-29 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.152,16.642,0.5100000000000016,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-06-01,external,2020-06-01 07:00:00+00:00,2020-06-01 13:30:00+00:00,2020-06-01 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.466,17.142,0.3240000000000016,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-06-01 17:25:00+00:00,
2020-06-02,external,2020-06-02 07:00:00+00:00,2020-06-02 13:30:00+00:00,2020-06-02 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,18.228,17.981,0.2469999999999999,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-06-02 14:45:00+00:00,
2020-06-03,external,2020-06-03 07:00:00+00:00,2020-06-03 13:30:00+00:00,2020-06-03 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.621,17.147,0.4740000000000002,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-06-04,external,2020-06-04 07:00:00+00:00,2020-06-04 13:30:00+00:00,2020-06-04 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.579,17.05,0.5289999999999999,True,,1,0,2020-06-04 18:05:00+00:00,2020-06-04 18:10:00+00:00,True,2020-06-04 18:10:00+00:00,2020-06-04 18:15:00+00:00,H2_ARRIVAL,2020-06-04 18:40:00+00:00,30.0
2020-06-05,external,2020-06-05 07:00:00+00:00,2020-06-05 13:30:00+00:00,2020-06-05 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.902,17.473,0.42900000000000205,True,,1,0,2020-06-05 18:05:00+00:00,2020-06-05 18:10:00+00:00,True,2020-06-05 18:10:00+00:00,2020-06-05 18:15:00+00:00,NO_H2_BY_END,,
2020-06-08,external,2020-06-08 07:00:00+00:00,2020-06-08 13:30:00+00:00,2020-06-08 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.485,17.339,0.1460000000000008,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-06-08 14:00:00+00:00,
2020-06-09,external,2020-06-09 07:00:00+00:00,2020-06-09 13:30:00+00:00,2020-06-09 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.4,17.216,0.1839999999999975,False,NO_K1,0,0,,,False,,,NO_K1,,
2020-06-10,external,2020-06-10 07:00:00+00:00,2020-06-10 13:30:00+00:00,2020-06-10 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.379,17.249,0.13000000000000256,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-06-10 18:35:00+00:00,
2020-06-11,external,2020-06-11 07:00:00+00:00,2020-06-11 13:30:00+00:00,2020-06-11 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,17.385,17.1,0.28500000000000014,False,BREAK_BEFORE_K1,0,0,,,False,,,BREAK_BEFORE_K1,2020-06-11 13:40:00+00:00,
2020-06-12,external,2020-06-12 07:00:00+00:00,2020-06-12 13:30:00+00:00,2020-06-12 20:00:00+00:00,1.0,-4.0,390,78,NORMAL_6H30,16.771,16.588,0.18299999999999983,True,,1,0,2020-06-12 13:55:00+00:00,2020-06-12 14:00:00+00:00,False,,,BREAK_DURING_K1,2020-06-12 14:10:00+00:00,
