role,partition,loss_class,episode_class,n,gross_loss,gross_loss_5bps,median_loss,q90_loss,h2_eligible_rate,latent_target_rate
CLOCK_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_TRUE_FAILURE_PROXY,9,107.51832200429274,110.51832200429274,11.258955987717588,16.547146030444758,0.3333333333333333,0.0
CLOCK_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_LATENT_RECOVERABLE,17,15.976876658529982,23.47687665852998,0.90132193884368,1.6835850051137191,0.7647058823529411,1.0
CLOCK_SUPPORT,reference_validation,L2_BREAK_FAST_FAIL_5M,RESIDUAL_TRUE_FAILURE_PROXY,28,74.43134461576396,87.43134461576396,1.1457229849856643,4.704248972416753,0.8571428571428571,0.0
CLOCK_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_LATENT_RECOVERABLE,24,24.92477452391445,36.17477452391445,0.8880673870605427,1.794537180703526,0.875,1.0
CLOCK_SUPPORT,reference_validation,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,15,25.933583030922637,31.933583030922634,0.9224028594489453,2.7177981403389335,0.6,0.0
CLOCK_SUPPORT,reference_validation,L1_NEVER_BREAK_TIME,RESIDUAL_LATENT_RECOVERABLE,4,18.47232886139616,19.47232886139616,3.304720329219357,8.966716458376707,0.0,1.0
CLOCK_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_LATENT_RECOVERABLE,4,3.9385114021955325,5.938511402195532,0.6823908129443834,1.9506154579891024,1.0,1.0
CLOCK_SUPPORT,reference_validation,L5_BREAK_FAIL_LATE,RESIDUAL_TRUE_FAILURE_PROXY,7,6.362476644213966,9.862476644213967,0.5651397977394224,2.0244438077935634,1.0,0.0
CLOCK_SUPPORT,reference_validation,L0_NEVER_BREAK_REFERENCE_INVALIDATION,RESIDUAL_LATENT_RECOVERABLE,3,24.593744380047465,25.843744380047468,7.508867667121332,11.256687389284536,0.6666666666666666,1.0
REF_SUPPORT,external,L4_BREAK_FAIL_30M,RESIDUAL_TRUE_FAILURE_PROXY,14,89.75318660191861,96.50318660191861,3.319044132936239,20.189847398607398,0.9285714285714286,0.0
