episode_id,partition,origin_state,outcome,transition,resume,n_intervals,first_sideways_ts,age2_source_start,age2_source_end,frozen_boundary,path_class,first_break_pos,first_reclaim_pos,first_rebreak_pos,break_to_reclaim_min,reclaim_to_rebreak_min,confirmation_bar_start,confirmation_complete_ts,eligible_open_ts,exit_effective_ts,confirmation_to_exit_hours,eligible_before_exit,age2_final_4h_beyond
718,development,BULL,TRANSITION,True,False,2,2022-06-07 04:00:00+00:00,2022-06-07 04:00:00+00:00,2022-06-07 08:00:00+00:00,29524.0,FAILED_RECLAIM,1.0,6.0,7.0,25.0,5.0,2022-06-07 04:30:00+00:00,2022-06-07 04:35:00+00:00,2022-06-07 04:35:00+00:00,2022-06-07 12:00:00+00:00,7.416666666666667,True,False
726,development,BEAR,RESUME,False,True,2,2022-06-19 20:00:00+00:00,2022-06-19 20:00:00+00:00,2022-06-20 00:00:00+00:00,21388.0,NO_BREAK,,,,,,,,,2022-06-20 04:00:00+00:00,,False,False
728,development,BEAR,TRANSITION,True,False,2,2022-06-20 08:00:00+00:00,2022-06-20 08:00:00+00:00,2022-06-20 12:00:00+00:00,21388.0,NO_BREAK,,,,,,,,,2022-06-20 16:00:00+00:00,,False,False
732,development,BULL,RESUME,False,True,2,2022-06-22 04:00:00+00:00,2022-06-22 04:00:00+00:00,2022-06-22 08:00:00+00:00,17593.2,NO_BREAK,,,,,,,,,2022-06-22 12:00:00+00:00,,False,False
735,development,BEAR,RESUME,False,True,2,2022-06-23 08:00:00+00:00,2022-06-23 08:00:00+00:00,2022-06-23 12:00:00+00:00,20888.0,NO_BREAK,,,,,,,,,2022-06-23 16:00:00+00:00,,False,False
746,development,BULL,RESUME,False,True,2,2022-07-05 12:00:00+00:00,2022-07-05 12:00:00+00:00,2022-07-05 16:00:00+00:00,18959.0,NO_BREAK,,,,,,,,,2022-07-05 20:00:00+00:00,,False,False
750,development,BEAR,RESUME,False,True,2,2022-07-14 00:00:00+00:00,2022-07-14 00:00:00+00:00,2022-07-14 04:00:00+00:00,22000.0,NO_BREAK,,,,,,,,,2022-07-14 08:00:00+00:00,,False,False
756,development,BULL,RESUME,False,True,2,2022-07-21 12:00:00+00:00,2022-07-21 12:00:00+00:00,2022-07-21 16:00:00+00:00,20742.0,NO_BREAK,,,,,,,,,2022-07-21 20:00:00+00:00,,False,False
758,development,BULL,TRANSITION,True,False,4,2022-07-22 20:00:00+00:00,2022-07-22 20:00:00+00:00,2022-07-23 00:00:00+00:00,22340.2,NO_BREAK,,,,,,,,,2022-07-23 12:00:00+00:00,,False,False
762,development,BEAR,RESUME,False,True,2,2022-07-24 16:00:00+00:00,2022-07-24 16:00:00+00:00,2022-07-24 20:00:00+00:00,23750.0,NO_BREAK,,,,,,,,,2022-07-25 00:00:00+00:00,,False,False
766,development,BULL,TRANSITION,True,False,2,2022-08-01 00:00:00+00:00,2022-08-01 00:00:00+00:00,2022-08-01 04:00:00+00:00,23426.3,FAILED_RECLAIM,1.0,25.0,26.0,120.0,5.0,2022-08-01 02:05:00+00:00,2022-08-01 02:10:00+00:00,2022-08-01 02:10:00+00:00,2022-08-01 08:00:00+00:00,5.833333333333333,True,True
768,development,BEAR,TRANSITION,True,False,2,2022-08-03 12:00:00+00:00,2022-08-03 12:00:00+00:00,2022-08-03 16:00:00+00:00,23497.0,BREAK_RECLAIM_NO_REBREAK,4.0,6.0,,,,,,,2022-08-03 20:00:00+00:00,,False,False
771,development,BEAR,TRANSITION,True,False,2,2022-08-05 04:00:00+00:00,2022-08-05 04:00:00+00:00,2022-08-05 08:00:00+00:00,23497.0,NO_BREAK,,,,,,,,,2022-08-05 12:00:00+00:00,,False,False
