family,lookback_min,state_bin,hold_min,year,N,WR,net,exp,PF,DD,LS
TREND,30,HIGH,120,2024,108,36.11111111111111,-54.884185574934506,-0.5081869034716158,0.769531736616404,83.38636159114151,9
TREND,30,HIGH,240,2022,122,44.26229508196721,-116.82939433368021,-0.9576179863416411,0.7844942076404191,177.76863765850257,6
TREND,30,HIGH,240,2023,81,48.148148148148145,-27.715046105162045,-0.3421610630266919,0.8599648020980021,86.1480745369146,6
TREND,30,HIGH,240,2024,108,37.96296296296296,-73.68006088061848,-0.6822227859316526,0.785759473570824,134.07349522812905,14
TREND,30,HIGH,360,2022,122,44.26229508196721,-8.392612371725763,-0.06879190468627674,0.9862377313601108,147.21478677737693,11
TREND,30,HIGH,360,2023,81,41.9753086419753,-53.5576376586657,-0.6612054031934037,0.7857975180461086,117.96046290787818,7
TREND,30,HIGH,360,2024,108,42.592592592592595,31.416191199505104,0.2908906592546769,1.09576931402917,88.63857793031609,6
TREND,30,HIGH,720,2022,122,47.540983606557376,-104.75055844509275,-0.8586111347958422,0.87715352574932,204.80679169977984,5
TREND,30,HIGH,720,2023,81,50.617283950617285,68.1560314304964,0.8414324867962518,1.256738829897679,60.69154626041485,6
TREND,30,HIGH,720,2024,108,42.592592592592595,-32.09463393708331,-0.29717253645447506,0.933874498531418,113.66308823616356,6
TREND,30,HIGH,960,2022,122,50.81967213114754,-191.134629613724,-1.5666772919157705,0.8031055398081866,242.37305306269914,5
TREND,30,HIGH,960,2023,81,53.086419753086425,80.78430714692327,0.9973371252706577,1.3094026107871335,75.52770010885891,4
TREND,30,HIGH,960,2024,108,44.44444444444444,-61.26833586500021,-0.5672994061574094,0.8786029318734994,123.70177447497912,5
TREND,60,LOW,60,2022,122,41.80327868852459,-129.03622815410455,-1.057674001263152,0.5614349762145654,156.5756804852657,9
TREND,60,LOW,60,2023,93,36.55913978494624,-73.68553840462175,-0.7923176172539973,0.4256851776440995,80.20197329716547,10
TREND,60,LOW,60,2024,127,46.45669291338583,-46.872536016517905,-0.3690750867442355,0.7745098392887189,85.7495490606861,12
TREND,60,LOW,120,2022,122,32.78688524590164,-249.7737090288089,-2.047325483842696,0.3781855508553758,257.01059051277315,7
TREND,60,LOW,120,2023,93,40.86021505376344,-52.95804737561373,-0.5694413696302552,0.6538962386527827,67.256147949171,7
TREND,60,LOW,120,2024,127,54.330708661417326,-59.38727852964142,-0.4676163663751293,0.7779624886711801,69.01937332093246,6
TREND,60,LOW,240,2022,122,43.44262295081967,-252.16847640963843,-2.0669547246691673,0.522148905548425,254.4278555777475,9
TREND,60,LOW,240,2023,93,47.31182795698925,-55.73794806039956,-0.5993327748430061,0.7304266583859834,84.48268609700483,8
TREND,60,LOW,240,2024,127,52.75590551181102,-124.53554658762991,-0.980594855020708,0.7046540938370265,142.99848182101726,7
TREND,60,LOW,360,2022,122,42.62295081967213,-252.3489044348089,-2.0684336429082695,0.5797162144585133,264.6811152601687,8
TREND,60,LOW,360,2023,93,43.01075268817204,-129.25706801038424,-1.3898609463482177,0.577030448469179,170.17008429459318,7
