signal_id,partition,date_utc,k,signal_ts,signal_bar_start,structural_outcome,previous_session_high,previous_session_low,zone_name,zone_fraction,zone_px,status,activated,activation_bar_start,activation_ts,confirmed,confirmation_bar_start,confirmation_ts,confirmation_close,prior_bar_high_at_confirm,pullback_low,pullback_low_fraction,filled,entry_ts,entry_px,stop_px,target_px,nominal_rr,exit_ts,exit_px,exit_reason,net_pnl_usd
external|2020-10-07|K2|2020-10-07 15:00:00+00:00,external,2020-10-07,2,2020-10-07 15:00:00+00:00,2020-10-07 14:55:00+00:00,TARGET_BREAK,10628.6,10563.08,Z75,0.75,10612.220000000001,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-07 15:00:00+00:00,2020-10-07 15:05:00+00:00,False,,,,,10610.0,0.7161172161172125,False,,,,10628.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-07|K2|2020-10-07 15:00:00+00:00,external,2020-10-07,2,2020-10-07 15:00:00+00:00,2020-10-07 14:55:00+00:00,TARGET_BREAK,10628.6,10563.08,Z80,0.8,10615.496000000001,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-07 15:00:00+00:00,2020-10-07 15:05:00+00:00,False,,,,,10610.0,0.7161172161172125,False,,,,10628.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-07|K2|2020-10-07 15:00:00+00:00,external,2020-10-07,2,2020-10-07 15:00:00+00:00,2020-10-07 14:55:00+00:00,TARGET_BREAK,10628.6,10563.08,Z85,0.85,10618.772,TARGET_BROKE_BEFORE_CONFIRMATION,True,2020-10-07 15:00:00+00:00,2020-10-07 15:05:00+00:00,False,,,,,10610.0,0.7161172161172125,False,,,,10628.6,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-08|K1|2020-10-08 13:35:00+00:00,external,2020-10-08,1,2020-10-08 13:35:00+00:00,2020-10-08 13:30:00+00:00,TARGET_BREAK,10743.99,10523.0,Z75,0.75,10688.7425,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10743.99,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-08|K1|2020-10-08 13:35:00+00:00,external,2020-10-08,1,2020-10-08 13:35:00+00:00,2020-10-08 13:30:00+00:00,TARGET_BREAK,10743.99,10523.0,Z80,0.8,10699.792,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10743.99,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-08|K1|2020-10-08 13:35:00+00:00,external,2020-10-08,1,2020-10-08 13:35:00+00:00,2020-10-08 13:30:00+00:00,TARGET_BREAK,10743.99,10523.0,Z85,0.85,10710.8415,TRADE,True,2020-10-08 13:45:00+00:00,2020-10-08 13:50:00+00:00,True,2020-10-08 13:55:00+00:00,2020-10-08 14:00:00+00:00,10731.86,10720.58,10704.15,0.8197203493370733,True,2020-10-08 14:00:00+00:00,10731.86,10704.15,10743.99,0.43774810537707637,2020-10-08 14:00:00+00:00,10743.99,TP_PREV_HIGH,0.16513968687621483
external|2020-10-08|K2|2020-10-08 14:05:00+00:00,external,2020-10-08,2,2020-10-08 14:05:00+00:00,2020-10-08 14:00:00+00:00,TARGET_BREAK,10743.99,10523.0,Z75,0.75,10688.7425,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10743.99,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-08|K2|2020-10-08 14:05:00+00:00,external,2020-10-08,2,2020-10-08 14:05:00+00:00,2020-10-08 14:00:00+00:00,TARGET_BREAK,10743.99,10523.0,Z80,0.8,10699.792,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,10743.99,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
external|2020-10-08|K2|2020-10-08 14:05:00+00:00,external,2020-10-08,2,2020-10-08 14:05:00+00:00,2020-10-08 14:00:00+00:00,TARGET_BREAK,10743.99,10523.0,Z85,0.85,10710.8415,TRADE,True,2020-10-08 14:05:00+00:00,2020-10-08 14:10:00+00:00,True,2020-10-08 14:15:00+00:00,2020-10-08 14:20:00+00:00,10721.53,10721.33,10707.25,0.8337481333997022,True,2020-10-08 14:20:00+00:00,10721.78,10707.25,10743.99,1.528561596696361,2020-10-08 14:30:00+00:00,10743.99,TP_PREV_HIGH,0.6357421995228488
external|2020-10-12|K1|2020-10-12 13:40:00+00:00,external,2020-10-12,1,2020-10-12 13:40:00+00:00,2020-10-12 13:35:00+00:00,TARGET_BREAK,11394.64,11157.0,Z75,0.75,11335.23,TARGET_BROKE_BEFORE_CONFIRMATION,False,,,False,,,,,,,False,,,,11394.64,,,,TARGET_BROKE_BEFORE_CONFIRMATION,
