rule,level_name,pool_family,archetype,variant,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wilson,eligible,wr_sort,pf_sort,rank
W1_VAL|CONT|MICRO_PERSIST,W1_VAL,W1VA,CONT,MICRO_PERSIST,156,44,0.28205128205128205,15,29,0,0.3409090909090909,-0.003181818181818158,0.5172413793103462,8,0.21875632628639943,1,0.3409090909090909,0.5172413793103462,47
PDL|REV|FLOW3,PDL,PD,REV,FLOW3,156,41,0.26282051282051283,14,27,0,0.34146341463414637,-0.003170731707317019,0.5185185185185245,7,0.21558617366643465,1,0.34146341463414637,0.5185185185185245,48
W1_VAH|REV|H1_FLOW,W1_VAH,W1VA,REV,H1_FLOW,156,24,0.15384615384615385,9,15,0,0.375,-0.0024999999999999866,0.6000000000000002,5,0.21159133433631455,1,0.375,0.6000000000000002,49
PDL|REV|H1_FLOW,PDL,PD,REV,H1_FLOW,156,54,0.34615384615384615,16,38,0,0.2962962962962963,-0.004074074074074019,0.4210526315789523,10,0.19137265695067046,1,0.2962962962962963,0.4210526315789523,50
W1_VAL|REV|FLOW3,W1_VAL,W1VA,REV,FLOW3,156,18,0.11538461538461539,10,8,0,0.5555555555555556,0.0011111111111111694,1.2500000000000142,2,0.33716069428251627,0,0.5555555555555556,1.2500000000000142,51
PDH|REV|PERSIST,PDH,PD,REV,PERSIST,156,14,0.08974358974358974,8,5,1,0.5714285714285714,0.002524993520283261,1.7069981856793166,3,0.3259026690286936,0,0.5714285714285714,1.7069981856793166,52
W1_VAL|REV|H1_FLOW,W1_VAL,W1VA,REV,H1_FLOW,156,17,0.10897435897435898,9,8,0,0.5294117647058824,0.0005882352941177244,1.1250000000000175,2,0.3096289731154949,0,0.5294117647058824,1.1250000000000175,53
W1_VAL|REV|PERSIST,W1_VAL,W1VA,REV,PERSIST,156,7,0.04487179487179487,4,3,0,0.5714285714285714,0.001428571428571503,1.3333333333333537,1,0.2504542304090258,0,0.5714285714285714,1.3333333333333537,54
PDL|REV|MICRO_PERSIST,PDL,PD,REV,MICRO_PERSIST,156,13,0.08333333333333333,6,7,0,0.46153846153846156,-0.0007692307692307212,0.8571428571428655,3,0.23205754301488138,0,0.46153846153846156,0.8571428571428655,55
W1_VAH|REV|MICRO,W1_VAH,W1VA,REV,MICRO,156,13,0.08333333333333333,6,7,0,0.46153846153846156,-0.0007692307692307639,0.8571428571428574,3,0.23205754301488138,0,0.46153846153846156,0.8571428571428574,56
W1_VAL|REV|MICRO,W1_VAL,W1VA,REV,MICRO,156,8,0.05128205128205128,4,4,0,0.5,7.112366251504909e-17,1.0000000000000142,2,0.2152125268244419,0,0.5,1.0000000000000142,57
PWH|REV|H1_FLOW,PWH,PW,REV,H1_FLOW,156,14,0.08974358974358974,6,8,0,0.42857142857142855,-0.0014285714285714364,0.7499999999999974,3,0.21380509930400526,0,0.42857142857142855,0.7499999999999974,58
W1_VAH|REV|MICRO_PERSIST,W1_VAH,W1VA,REV,MICRO_PERSIST,156,11,0.07051282051282051,5,6,0,0.45454545454545453,-0.0009090909090909031,0.8333333333333336,2,0.21270957543988048,0,0.45454545454545453,0.8333333333333336,59
PDH|REV|MICRO_PERSIST,PDH,PD,REV,MICRO_PERSIST,156,11,0.07051282051282051,5,6,0,0.45454545454545453,-0.0009090909090909132,0.8333333333333317,3,0.21270957543988048,0,0.45454545454545453,0.8333333333333317,60
PWL|REV|PERSIST,PWL,PW,REV,PERSIST,156,3,0.019230769230769232,2,1,0,0.6666666666666666,0.0033333333333333934,2.000000000000023,1,0.20765495512648788,0,0.6666666666666666,2.000000000000023,61
W1_VAH|REV|PERSIST,W1_VAH,W1VA,REV,PERSIST,156,19,0.12179487179487179,7,12,0,0.3684210526315789,-0.002631578947368407,0.5833333333333335,4,0.19149272376273838,0,0.3684210526315789,0.5833333333333335,62
PWL|REV|H1_FLOW,PWL,PW,REV,H1_FLOW,156,10,0.0641025641025641,4,6,0,0.4,-0.0019999999999999333,0.6666666666666755,5,0.16817758120350967,0,0.4,0.6666666666666755,63
PWH|REV|FLOW3,PWH,PW,REV,FLOW3,156,10,0.0641025641025641,4,6,0,0.4,-0.002,0.666666666666665,3,0.16817758120350967,0,0.4,0.666666666666665,64
PDL|REV|PERSIST,PDL,PD,REV,PERSIST,156,18,0.11538461538461539,6,12,0,0.3333333333333333,-0.0033333333333332668,0.5000000000000066,4,0.16278554363662856,0,0.3333333333333333,0.5000000000000066,65
PWH|REV|MICRO,PWH,PW,REV,MICRO,156,7,0.04487179487179487,3,4,0,0.42857142857142855,-0.001428571428571436,0.7499999999999976,3,0.15821692226262685,0,0.42857142857142855,0.7499999999999976,66
PWL|REV|MICRO,PWL,PW,REV,MICRO,156,4,0.02564102564102564,2,2,0,0.5,5.724587470723463e-17,1.0000000000000115,2,0.15003570882017145,0,0.5,1.0000000000000115,67
PWH|REV|MICRO_PERSIST,PWH,PW,REV,MICRO_PERSIST,156,4,0.02564102564102564,2,2,0,0.5,-2.6020852139652106e-17,0.9999999999999948,2,0.15003570882017145,0,0.5,0.9999999999999948,68
