role,partition,dev_block,execution_start,loss_class,visit_n,lane,H,L,R,parent_entry_ts,parent_exit_ts,parent_pnl,parent_pnl_5bps,recovery_entry_ts,recovery_entry_price,recovery_break_ts,recovery_exit_ts,recovery_exit_price,recovery_exit_reason,recovery_pnl,recovery_pnl_5bps,recovery_won,recovery_won_5bps,combined_episode_pnl,combined_episode_pnl_5bps,rescued,rescued_5bps
CENTRAL,development,0,2022-05-29 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,45.1,42.12,2.980000000000004,2022-05-29 12:50:00+00:00,2022-05-29 13:10:00+00:00,-1.9955654101995735,-2.245565410199574,2022-05-29 14:10:00+00:00,45.1,2022-05-29 14:10:00+00:00,2022-05-29 14:25:00+00:00,45.05,FAILED_BREAK,-0.5543237250554833,-0.8043237250554833,False,False,-2.549889135255057,-3.0498891352550572,False,False
CENTRAL,development,0,2022-05-30 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,46.74,44.15,2.5900000000000034,2022-05-30 06:15:00+00:00,2022-05-30 06:25:00+00:00,-0.3209242618741892,-0.5709242618741892,2022-05-30 06:30:00+00:00,46.74,2022-05-30 06:45:00+00:00,2022-05-30 06:55:00+00:00,46.61,FAILED_BREAK,-1.390671801454857,-1.640671801454857,False,False,-1.7115960633290461,-2.211596063329046,False,False
CENTRAL,development,0,2022-06-05 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,39.55,37.4,2.1499999999999986,2022-06-05 09:40:00+00:00,2022-06-05 09:50:00+00:00,-1.0113780025284291,-1.2613780025284291,2022-06-05 10:10:00+00:00,39.55,2022-06-05 10:10:00+00:00,2022-06-05 11:10:00+00:00,39.48,FAILED_BREAK,-0.8849557522123686,-1.1349557522123686,False,False,-1.8963337547407977,-2.3963337547407977,False,False
CENTRAL,development,0,2022-06-10 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,40.42,38.96,1.4600000000000009,2022-06-10 03:00:00+00:00,2022-06-10 03:55:00+00:00,-0.3711034141514191,-0.6211034141514191,2022-06-10 05:00:00+00:00,40.42,2022-06-10 05:00:00+00:00,2022-06-10 05:10:00+00:00,40.39,FAILED_BREAK,-0.3711034141514191,-0.6211034141514191,False,False,-0.7422068283028382,-1.2422068283028382,False,False
CENTRAL,development,0,2022-06-14 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,29.86,25.81,4.050000000000001,2022-06-14 05:15:00+00:00,2022-06-14 05:35:00+00:00,-0.5023442732752792,-0.7523442732752792,2022-06-14 11:10:00+00:00,29.86,2022-06-14 13:15:00+00:00,2022-06-14 13:40:00+00:00,29.72,FAILED_BREAK,-2.3442732752846918,-2.594273275284692,False,False,-2.846617548559971,-3.3466175485599714,False,False
CENTRAL,development,0,2022-06-19 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,32.39,27.09,5.300000000000001,2022-06-19 10:55:00+00:00,2022-06-19 11:05:00+00:00,-1.234949058351309,-1.484949058351309,2022-06-19 11:10:00+00:00,32.39,2022-06-19 11:20:00+00:00,2022-06-19 11:45:00+00:00,32.38,FAILED_BREAK,-0.15436863229389974,-0.40436863229389974,False,False,-1.3893176906452087,-1.8893176906452087,False,False
CENTRAL,development,0,2022-06-23 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,35.88,33.81,2.0700000000000003,2022-06-23 04:40:00+00:00,2022-06-23 04:55:00+00:00,-0.696767001114873,-0.946767001114873,2022-06-23 05:30:00+00:00,35.88,2022-06-23 05:30:00+00:00,2022-06-23 05:55:00+00:00,35.64,FAILED_BREAK,-3.344481605351224,-3.5944816053512243,False,False,-4.041248606466096,-4.541248606466097,False,False
CENTRAL,development,0,2022-06-28 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,39.14,36.94,2.200000000000003,2022-06-28 08:50:00+00:00,2022-06-28 09:30:00+00:00,-0.5109862033724766,-0.7609862033724766,2022-06-28 11:10:00+00:00,39.14,2022-06-28 11:20:00+00:00,2022-06-28 13:00:00+00:00,39.02,FAILED_BREAK,-1.5329586101174852,-1.7829586101174852,False,False,-2.043944813489962,-2.543944813489962,False,False
CENTRAL,development,1,2022-07-15 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,37.88,36.33,1.5500000000000043,2022-07-15 08:20:00+00:00,2022-07-15 09:00:00+00:00,-0.5279831045406636,-0.7779831045406636,2022-07-15 12:35:00+00:00,37.88,2022-07-15 12:35:00+00:00,2022-07-15 13:05:00+00:00,38.50000000000001,TARGET,8.183738120380202,7.933738120380202,True,True,7.655755015839539,7.155755015839539,True,True
CENTRAL,development,1,2022-07-17 03:00:00+00:00,A17_PARENT_LOSS,2,REC_H2,40.5,38.83,1.6700000000000017,2022-07-17 06:25:00+00:00,2022-07-17 07:45:00+00:00,-0.4938271604938427,-0.7438271604938427,2022-07-17 08:10:00+00:00,40.5,,2022-07-17 16:20:00+00:00,38.76,REFERENCE_INVALIDATION,-21.48148148148149,-21.73148148148149,False,False,-21.975308641975335,-22.475308641975335,False,False
