event_type,decision_bar_start,effective_bar_start,old_floor,new_floor,zone,partition,entry_bar_start,execution_end,active_open,active_low,classification,old_floor_protects_open
RATCHET,2022-03-28 13:35:00+00:00,2022-03-28 13:40:00+00:00,47341.28,47447.840000000004,RAW_0530,development,2022-03-28 11:20:00+00:00,2022-03-28 17:30:00+00:00,47525.7,47469.6,NO_IMMEDIATE_CROSS,False
RATCHET,2022-03-28 13:50:00+00:00,2022-03-28 13:55:00+00:00,47447.840000000004,47554.4,RAW_0530,development,2022-03-28 11:20:00+00:00,2022-03-28 17:30:00+00:00,47656.0,47631.6,NO_IMMEDIATE_CROSS,False
RATCHET,2022-03-28 13:55:00+00:00,2022-03-28 14:00:00+00:00,47554.4,47607.68,RAW_0530,development,2022-03-28 11:20:00+00:00,2022-03-28 17:30:00+00:00,47698.9,47524.2,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2022-04-01 13:15:00+00:00,2022-04-01 13:20:00+00:00,,45383.75,RAW_0530,development,2022-04-01 12:55:00+00:00,2022-04-01 17:30:00+00:00,45440.0,45410.8,NO_IMMEDIATE_CROSS,False
ARM,2022-04-27 06:45:00+00:00,2022-04-27 06:50:00+00:00,,38522.43,RAW_2330,development,2022-04-27 05:30:00+00:00,2022-04-27 11:30:00+00:00,38584.7,38584.1,NO_IMMEDIATE_CROSS,False
RATCHET,2022-04-27 07:00:00+00:00,2022-04-27 07:05:00+00:00,38522.43,38645.69,RAW_2330,development,2022-04-27 05:30:00+00:00,2022-04-27 11:30:00+00:00,38710.2,38633.4,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2022-07-04 11:50:00+00:00,2022-07-04 11:55:00+00:00,,19650.960000000003,RAW_0530,development,2022-07-04 11:30:00+00:00,2022-07-04 17:30:00+00:00,19749.9,19700.0,NO_IMMEDIATE_CROSS,False
RATCHET,2022-07-04 11:55:00+00:00,2022-07-04 12:00:00+00:00,19650.960000000003,19699.24,RAW_0530,development,2022-07-04 11:30:00+00:00,2022-07-04 17:30:00+00:00,19794.2,19758.7,NO_IMMEDIATE_CROSS,False
RATCHET,2022-07-04 12:00:00+00:00,2022-07-04 12:05:00+00:00,19699.24,19747.520000000004,RAW_0530,development,2022-07-04 11:30:00+00:00,2022-07-04 17:30:00+00:00,19827.1,19747.1,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2022-12-12 14:15:00+00:00,2022-12-12 14:20:00+00:00,,17009.36,RAW_0530,development,2022-12-12 13:35:00+00:00,2022-12-12 17:30:00+00:00,17011.6,16999.0,SAME_BAR_CROSS_LATENCY_AMBIGUOUS,False
ARM,2023-01-12 12:30:00+00:00,2023-01-12 12:35:00+00:00,,18226.45,RAW_0530,development,2023-01-12 12:00:00+00:00,2023-01-12 17:30:00+00:00,18205.0,18163.5,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2023-03-21 16:35:00+00:00,2023-03-21 16:40:00+00:00,,28260.95,RAW_0530,development,2023-03-21 13:20:00+00:00,2023-03-21 17:30:00+00:00,28231.5,28220.8,BOUNDARY_GAP_NEW_FLOOR_REQUIRED,False
ARM,2023-04-26 12:15:00+00:00,2023-04-26 12:20:00+00:00,,29178.9,RAW_0530,development,2023-04-26 12:10:00+00:00,2023-04-26 17:30:00+00:00,29214.9,29214.9,NO_IMMEDIATE_CROSS,False
