role,partition,dev_block,execution_start,component,parent_entry_ts,entry_ts,exit_ts,exit_reason,baseline_pnl,baseline_pnl_5bps,outcome,H,L,R,e20_ts,entry_to_e20_min,break_to_e20_min,e20_bar_close_R,e20_bar_close_vs_E20_R,running_mfe_R_at_E20,running_mae_R_to_E20,closes_gt_H_to_E20,closes_ge_E10_to_E20
CLOCK_SUPPORT,reference_validation,,2025-02-19 17:00:00+00:00,REC_H2,2025-02-19 17:00:00+00:00,2025-02-20 03:55:00+00:00,2025-02-20 04:10:00+00:00,FAILED_BREAK,-0.1158144652266823,-0.3658144652266824,E20_STALLER,172.69,168.03,4.659999999999997,2025-02-20 04:10:00+00:00,15.0,10.0,0.16523605150214823,-0.03476394849785178,0.21673819742489092,0.09442060085836868,2,1
CLOCK_SUPPORT,reference_validation,,2025-03-08 17:00:00+00:00,REC_H2,2025-03-08 19:45:00+00:00,2025-03-09 05:20:00+00:00,2025-03-09 06:05:00+00:00,FAILED_BREAK,-1.3340063455437037,-1.5840063455437037,E20_STALLER,138.68,135.34,3.3400000000000034,2025-03-09 05:25:00+00:00,5.0,5.0,0.16467065868262945,-0.03532934131737056,0.2035928143712593,0.11377245508981888,2,1
CLOCK_SUPPORT,reference_validation,,2025-03-11 17:00:00+00:00,REC_H2,2025-03-11 18:10:00+00:00,2025-03-11 18:40:00+00:00,2025-03-11 20:40:00+00:00,FAILED_BREAK,-0.1973009233683376,-0.4473009233683376,E20_STALLER,126.71,118.53,8.179999999999993,2025-03-11 19:55:00+00:00,75.0,70.0,0.16503667481662712,-0.03496332518337289,0.2017114914425454,0.06479217603911827,15,9
CLOCK_SUPPORT,reference_validation,,2025-03-15 17:00:00+00:00,REC_H2,2025-03-15 17:15:00+00:00,2025-03-15 21:35:00+00:00,2025-03-15 21:45:00+00:00,FAILED_BREAK,-0.0367647058823195,-0.2867647058823195,E20_STALLER,136.0,133.83,2.1699999999999875,2025-03-15 21:35:00+00:00,0.0,0.0,0.10138248847926273,-0.09861751152073728,0.2165898617511528,0.04608294930875341,1,1
CLOCK_SUPPORT,reference_validation,,2025-03-19 17:00:00+00:00,REC_H2,2025-03-19 18:55:00+00:00,2025-03-19 19:40:00+00:00,2025-03-19 23:00:00+00:00,TARGET,8.364102177680689,8.114102177680687,E20_TO_E40_CONTINUATION,132.71,127.16,5.550000000000011,2025-03-19 20:05:00+00:00,25.0,25.0,0.1963963963963966,-0.0036036036036034003,0.30270270270269817,0.09729729729730079,6,2
CLOCK_SUPPORT,reference_validation,,2025-04-10 17:00:00+00:00,REC_H2,2025-04-11 02:25:00+00:00,2025-04-11 03:00:00+00:00,2025-04-11 06:05:00+00:00,TARGET,10.652230856544096,10.402230856544096,E20_TO_E40_CONTINUATION,114.53,108.43,6.099999999999994,2025-04-11 04:10:00+00:00,70.0,70.0,0.23278688524590213,0.03278688524590212,0.23606557377049164,0.037704918032787575,15,12
CLOCK_SUPPORT,reference_validation,,2025-04-16 17:00:00+00:00,REC_H2,2025-04-16 17:15:00+00:00,2025-04-16 19:10:00+00:00,2025-04-16 19:45:00+00:00,TARGET,8.276818742293468,8.026818742293468,E20_TO_E40_CONTINUATION,129.76,124.39,5.36999999999999,2025-04-16 19:45:00+00:00,35.0,10.0,0.5027932960893896,0.3027932960893896,0.5065176908752335,0.2048417132216008,3,2
CLOCK_SUPPORT,reference_validation,,2025-04-19 17:00:00+00:00,REC_H2,2025-04-20 00:10:00+00:00,2025-04-20 00:50:00+00:00,2025-04-20 03:35:00+00:00,FAILED_BREAK,-0.497477080520281,-0.7474770805202811,E20_STALLER,140.71,137.57,3.140000000000015,2025-04-20 01:35:00+00:00,45.0,30.0,0.21337579617833896,0.01337579617833895,0.3089171974522275,0.19745222929936357,7,4
CLOCK_SUPPORT,reference_validation,,2025-04-20 17:00:00+00:00,REC_H2,2025-04-20 20:15:00+00:00,2025-04-21 00:05:00+00:00,2025-04-21 00:10:00+00:00,TARGET,3.594723873025063,3.344723873025063,E20_TO_E40_CONTINUATION,137.98,135.5,2.4799999999999898,2025-04-21 00:05:00+00:00,0.0,0.0,0.41129032258065096,0.21129032258065095,0.5604838709677502,0.048387096774184124,1,1
CLOCK_SUPPORT,reference_validation,,2025-04-22 17:00:00+00:00,REC_H2,2025-04-22 21:45:00+00:00,2025-04-22 22:50:00+00:00,2025-04-23 02:00:00+00:00,FAILED_BREAK,-1.286478434558869,-1.536478434558869,E20_STALLER,147.69,140.93,6.759999999999991,2025-04-22 22:55:00+00:00,5.0,5.0,0.19970414201183376,-0.00029585798816625375,0.27514792899408524,0.04733727810650793,2,2
