partition,horizon_min,from_state,to_state,n,share,from_total_n
development,30,PRESSURE_BUILD,NEUTRAL_TRANSITION,2630,0.5098875533152385,5158
development,30,PRESSURE_BUILD,PRESSURE_BUILD,781,0.15141527723924,5158
development,30,PRESSURE_BUILD,UP_POSITION_BUILD,223,0.043233811554866226,5158
development,30,PRESSURE_BUILD,UP_UNWIND_LIKE,37,0.007173322993408298,5158
development,30,UP_POSITION_BUILD,DELEVERAGING,262,0.11476127901883487,2283
development,30,UP_POSITION_BUILD,DOWN_POSITION_BUILD,31,0.01357862461673237,2283
development,30,UP_POSITION_BUILD,DOWN_UNWIND_LIKE,122,0.053438458169075775,2283
development,30,UP_POSITION_BUILD,EVENT_CONFLICT,7,0.0030661410424879547,2283
development,30,UP_POSITION_BUILD,HIGHLOC_BUY_BUILD,152,0.06657906263688129,2283
development,30,UP_POSITION_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,40,0.017520805957074025,2283
development,30,UP_POSITION_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,71,0.031099430573806396,2283
development,30,UP_POSITION_BUILD,HIGHLOC_SELL_UNWIND_LIKE,248,0.10862899693385895,2283
development,30,UP_POSITION_BUILD,NEUTRAL_TRANSITION,828,0.36268068331143233,2283
development,30,UP_POSITION_BUILD,PRESSURE_BUILD,234,0.10249671484888305,2283
