year,side,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
2025,LOWER,LONG,TF60,S2_WALL_ACCEPT2,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,11,0.36666666666666664,50.0,4,0.2222222222222222,7,0.5833333333333334,0.015602108105607748,0.05337721799719642,-0.02215144213316411,-0.37054367002503946,0.4666666666666667
2025,LOWER,LONG,TF60,S3_WALL_CLOSE15,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,13,0.43333333333333335,75.0,4,0.2222222222222222,9,0.75,-5.551115123125783e-17,0.053382426578054566,-0.00818938896131532,-0.3986274646151334,0.4666666666666667
2025,LOWER,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,8,0.26666666666666666,60.0,3,0.16666666666666666,5,0.4166666666666667,0.19247044880880668,0.054470409385652056,-0.0008065720236073086,-0.37787217050015215,0.5
2025,LOWER,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,30,18,12,0.0876042639223826,0.03396677128050115,-0.3845855673200864,8,0.26666666666666666,60.0,3,0.16666666666666666,5,0.4166666666666667,0.1618003610311419,0.04170320263731029,-0.0008065720236073086,-0.3845855673200864,0.5
2026,UPPER,SHORT,TF05,D0_WALL_TOUCH,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,14,0.875,5.0,6,0.75,8,1.0,0.04873470434540645,0.0907057121460065,-0.03737826032461673,-0.07315523701201224,0.125
2026,UPPER,SHORT,TF05,S1_WALL_CLOSE5,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,11,0.6875,15.0,4,0.5,7,0.875,0.06843651156091823,0.09919003252585665,-0.06085912164662947,-0.1434572533525718,0.25
2026,UPPER,SHORT,TF05,S2_WALL_ACCEPT2,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,8,0.5,17.5,2,0.25,6,0.75,0.009795870228266605,0.18099738533626342,-0.048912072501903575,-0.24074699985280787,0.375
2026,UPPER,SHORT,TF05,S3_WALL_CLOSE15,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,9,0.5625,15.0,2,0.25,7,0.875,0.009101270538094203,0.18135214902416813,-0.06248911575616985,-0.24074699985280787,0.375
2026,UPPER,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,13,0.8125,15.0,5,0.625,8,1.0,-0.0035561526265392787,0.08146295424104211,-0.05919467701970804,-0.13726143676628272,0.1875
2026,UPPER,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,16,8,8,0.18685789731939417,0.030630958977401097,-0.3326962029543571,10,0.625,20.0,4,0.5,6,0.75,-0.03206066144442568,0.07185981184240117,-0.10257807049921411,-0.20618550010810838,0.25
2026,LOWER,LONG,TF60,D0_WALL_TOUCH,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,8,0.6666666666666666,17.5,4,0.6666666666666666,4,0.6666666666666666,0.1228924311877605,-0.14276732390621502,-0.10604448352718995,-0.315457919324634,0.16666666666666666
2026,LOWER,LONG,TF60,S1_WALL_CLOSE5,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,7,0.5833333333333334,30.0,3,0.5,4,0.6666666666666666,0.08238484574265427,-0.13225898702022218,-0.08559187547760784,-0.28742487741526335,0.25
2026,LOWER,LONG,TF60,S2_WALL_ACCEPT2,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,5,0.4166666666666667,35.0,1,0.16666666666666666,4,0.6666666666666666,0.08340443242786261,-0.006162185226110344,-0.058385760127680555,-0.19668101042224462,0.4166666666666667
2026,LOWER,LONG,TF60,S3_WALL_CLOSE15,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,5,0.4166666666666667,30.0,1,0.16666666666666666,4,0.6666666666666666,0.08238484574265427,-0.002807468719338351,-0.0540151506289966,-0.19896380980612868,0.4166666666666667
2026,LOWER,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,5,0.4166666666666667,55.0,1,0.16666666666666666,4,0.6666666666666666,0.08587343331829643,-0.06640891361105844,-0.0967455967335276,-0.3297526003442145,0.4166666666666667
2026,LOWER,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,12,6,6,-0.032714503218693014,0.012333312996763098,-0.45442840184494565,4,0.3333333333333333,57.5,0,0.0,4,0.6666666666666666,0.05678379831394652,0.010968516621526586,-0.026855399908256052,-0.24193965761860917,0.5
