t,period,gt,v1,broad,bull,ret4,acc,distLow8,rv24,atr,distHigh8
1713434400000,DEV,BULL,0,1,0,1.6052699876341503,1.953436969014033,4.387753501576297,1.4346791291442393,2.279334981105709,-2.703789252090505
1713438000000,DEV,TRANSITION,0,1,0,4.915663023144368,3.919060073300814,6.436156029926132,1.4489505644223442,2.195996619114631,-0.933576642335765
1713441600000,DEV,BULL,0,1,0,2.43379328900335,2.1687907675711715,4.49911382279593,1.4599085796774758,2.3692129890207183,-2.7364963503649586
1713445200000,DEV,TRANSITION,1,1,0,2.708627735553626,2.4457769034008647,5.448029236005469,1.4518674977996815,2.3087416744313507,-1.85328467153284
1713448800000,DEV,TRANSITION,1,1,0,4.2701845855652065,3.079184249756839,8.845303260818426,1.538747706580488,2.4002342645934167,-0.7196045751400204
1713452400000,DEV,TRANSITION,0,1,0,2.3644093397484633,1.5231430125401366,8.952742443966955,1.4547800035205014,2.4669155072955524,-1.803068963323684
1713456000000,DEV,SIDEWAYS,0,1,0,4.547057808196553,3.2997107478398497,7.616009146317926,1.4483949089055814,2.4693130428540657,-1.5344816618485857
1713502800000,DEV,BULL,0,1,1,5.0300578471775825,4.532694457702102,8.17439116517782,1.7327695870089084,2.5748267729736036,-3.4633027522935844
1713506400000,DEV,SIDEWAYS,1,1,0,9.09761420937758,7.619500143639324,12.894759386609135,1.8746221176463347,2.7522750432144902,-0.9172932330827166
1713510000000,DEV,TRANSITION,0,1,0,4.987869325886329,4.269929385603725,11.553648336072131,1.8721308257833122,2.829994853648127,-2.433774496114005
1713513600000,DEV,SIDEWAYS,0,1,0,3.4629797131412454,2.5305289033688227,12.246789355223076,1.8723554991235907,2.8113793288015874,-1.8275446328222311
1713517200000,DEV,TRANSITION,0,1,0,3.2232517620971013,2.553743896624779,11.66112413454723,1.8812720842048478,2.8152643734966927,-2.3397748094462933
1713585600000,DEV,TRANSITION,1,1,0,2.8848614072494616,3.1062799958889533,3.6948159397138802,1.1903360857383236,1.8174542318118887,-0.6342538250859842
1713625200000,DEV,BULL,1,1,0,3.993298553675184,2.8781988105555767,5.079285714285708,0.9835235075715052,1.410985096773378,-0.22652514496931397
1713628800000,DEV,TRANSITION,0,1,0,3.5959590278607845,2.9974930718004758,5.255714285714297,0.9819347334776185,1.4061963769478798,-0.6432385781325878
1713632400000,DEV,SIDEWAYS,1,1,0,5.639981749903478,4.0368506998596025,7.487715689635488,1.063664291719626,1.4934504034171803,-0.2782931354359808
1713636000000,DEV,SIDEWAYS,0,1,0,5.320824727832818,3.8019558634861506,6.812695257029255,1.0370571501386034,1.4427208713777644,-0.8260376562417515
1713639600000,DEV,SIDEWAYS,0,1,0,2.740107809749115,0.9532150976688876,7.286498150869192,1.0374415001199246,1.4344599307746537,-0.4328091752910157
1713729600000,DEV,TRANSITION,1,0,0,0.9179152433456128,1.4309252835592625,1.6987048398091398,0.826901405676975,1.267111220057759,-1.0413764741778353
1713762000000,DEV,TRANSITION,1,1,0,3.484325266764432,2.531643652735941,4.496260508789174,0.7334755428428384,1.4734623777090157,-0.04503857651988463
1713765600000,DEV,SIDEWAYS,0,1,0,5.0944651049159795,3.6778825850012504,5.676793318047824,0.7603333256460629,1.4678411609893005,-1.0908788983911455
1713769200000,DEV,SIDEWAYS,0,1,0,2.1900578957875894,0.9221501351195445,4.78832296102194,0.7837853481526404,1.497078406254567,-1.9224505176565154
1713823200000,DEV,TRANSITION,1,1,0,2.518531981461525,1.665041067254358,4.28185641750245,0.7485677043218522,1.2161643900047598,-0.3111764743011336
1713830400000,DEV,BEAR,1,1,0,2.5984348646500344,1.5851347599452392,3.6006525285481317,0.7910109448837022,1.2876830163689008,-0.28513647611511095
1713873600000,DEV,TRANSITION,1,0,0,0.34899938373715855,1.2045454215617388,1.1223982846982672,0.6767571923656913,1.167427466936821,-0.8791208791208649
1713877200000,DEV,TRANSITION,1,0,0,1.44049113268776,1.7757982295629526,1.9650141198619409,0.6960328986279497,1.200001099027913,-0.21047782945539106
1713880800000,DEV,TRANSITION,1,1,0,2.050203536568862,1.7799935502705422,3.4064166928145623,0.7328719341264683,1.1847189899115806,-0.1886601971151869
1713884400000,DEV,TRANSITION,0,1,0,2.514465318951342,1.9872339699211836,3.142743268583681,0.7359185696109161,1.2259428955129625,-1.1806168503947
1713891600000,DEV,BEAR,0,1,0,2.00984729007192,1.2557624855234226,3.7099560045624758,0.7243708291878249,1.2371848567855295,-0.5437941832773907
1713931200000,DEV,BEAR,1,1,0,1.5583603061817275,1.326050948608885,3.07581657843754,0.7653584892228396,1.3066651100973492,-0.14813326972807905
1714057200000,DEV,BEAR,1,1,0,2.0414648805864077,1.644337715398403,3.9868770284636312,1.0282578830187015,1.6725052421445226,-0.4280735342694686
1714060800000,DEV,BEAR,1,1,0,3.447098500473822,3.186418424170586,4.5184136974535605,1.0341881249182885,1.6272891120492141,-0.026936208324634947
1714064400000,DEV,BEAR,0,1,0,2.597815787471558,2.4651601709275126,4.433931048077677,1.0306881825092542,1.6388619503781394,-0.6642960939121756
1714068000000,DEV,BEAR,0,1,0,2.1463313670702755,1.973887139878398,4.234692799966222,0.9127666892128895,1.5711236674926077,-0.853807983606869
1714107600000,DEV,SIDEWAYS,1,0,0,0.7674736050366393,1.5874422803906163,2.3535154177542816,0.794588800307421,1.3908059595391118,-1.6316540893330678
1714240800000,DEV,TRANSITION,0,1,0,2.2130043869174276,0.9498954973751343,4.426447747947626,0.9684392363421714,1.210028683735259,-0.8601320039320237
1714244400000,DEV,SIDEWAYS,1,1,0,3.3114699323759877,1.8086092066137798,4.863788845062111,0.9636486653008572,1.1960338441017895,-0.13200393203200989
1714327200000,DEV,BEAR,1,0,0,1.1874511680943778,1.2027478542759096,2.0834812742327236,0.487663308350862,0.8175062506707783,-0.12227996553927367
1714392000000,DEV,TRANSITION,1,0,0,0.8290263019346433,1.3943779115962305,1.7769328073891533,0.7355100329447394,1.3627505056076474,-0.5601831199128382
1714428000000,DEV,TRANSITION,1,1,0,2.2539231792805703,1.6692792671226364,3.2587154310422584,0.9378740847538221,1.4811433722689746,-0.4069072874054336
1714431600000,DEV,BEAR,0,1,0,2.067662207729648,1.3006045843207747,3.3878329279644515,0.9250692779188947,1.4608303295905405,-0.6578330460122572
1714435200000,DEV,BEAR,0,1,0,3.1073027544697096,2.341230559826083,4.214272335643376,0.9449252774996145,1.4893704426414716,-0.44445716821380765
1714514400000,DEV,BEAR,0,1,0,2.5141126921621293,3.213945808880451,5.16485059769185,1.0454505497333133,2.0742739087449658,-1.652503090234858
1714518000000,DEV,TRANSITION,0,1,0,2.98421317898776,3.513745274588368,4.655965765929504,1.041665790897422,2.07122277414735,-1.613817633947645
1714561200000,DEV,BULL,1,1,0,2.022447676010186,2.9959909789531816,3.9910370777491266,1.0461198346541778,2.011453196963626,-2.9987301537223954
1714564800000,DEV,BULL,0,1,0,2.1734825230220745,2.5192838870459457,4.69876971208727,1.0583947803688034,1.9645712624343243,-2.227521457956616
1714568400000,DEV,BULL,0,1,0,2.1888866812371788,3.0875434258925325,4.372384052762879,1.0445840023619042,1.97910542421058,-1.544204447564046
1714572000000,DEV,BULL,0,1,0,1.5159985530599496,1.9452860317754432,4.409588635691031,1.0253595952648111,1.9279582581331847,-1.2373327361289932
1714582800000,DEV,TRANSITION,0,1,0,2.718007712498771,2.277693819037152,5.366773869179697,1.0394703022125136,1.9981702171289766,-0.7234858865442617
1714586400000,DEV,TRANSITION,0,1,0,8.451571104632327,5.457864507410104,10.446185567010314,1.4924993501943846,2.341339773760098,-1.4910661085896448
1714590000000,DEV,BULL,0,1,1,5.127789309807973,2.6100991142825825,6.817601357753111,1.6363992297720769,2.673916109497513,-4.627674834305573
1714593600000,DEV,SIDEWAYS,0,1,1,5.812318741614897,2.917642701082834,8.514792753157518,1.6397609257916557,2.7165330417881455,-3.112333845803039
1714597200000,DEV,TRANSITION,0,1,0,5.143109526701428,1.6881345835484542,9.832999662209495,1.6500538271353238,2.61159642685687,-1.9353699712379435
1714636800000,DEV,TRANSITION,0,1,0,2.8753820977552635,2.480328242879981,3.9352086534037323,1.5738744716342215,2.1236752487643544,-0.4377740757065318
1714640400000,DEV,TRANSITION,1,1,0,3.18190590142422,3.0931416991518614,4.24247623355456,1.5668533556305635,1.8389515950619313,-0.14343450944651615
1714644000000,DEV,TRANSITION,0,1,0,3.6278660836167376,3.363569831772669,4.788383101842819,1.565969831720599,1.7409142763582484,-0.8361623616236269
1714647600000,DEV,SIDEWAYS,1,1,0,5.573198687046399,4.561363385292035,8.109056594944896,1.6523748768692732,1.7528790416076263,-0.4752776641036127
1714651200000,DEV,SIDEWAYS,0,1,0,2.7574977677399026,1.3598700069115195,6.801219711917139,1.6868445200328153,1.8312477311513449,-1.679266550360048
