family,decision,label,feature,period,band,n,success,success_rate
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,REF,Q1,70,33,0.4714285714285714
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,REF,Q2,69,28,0.4057971014492754
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,REF,Q3,77,40,0.5194805194805194
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_close_r,REF,Q4,79,53,0.6708860759493671
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,DEV,Q1,120,54,0.45
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,DEV,Q2,119,59,0.4957983193277311
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,DEV,Q3,119,63,0.5294117647058824
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,DEV,Q4,119,67,0.5630252100840336
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,REF,Q1,71,35,0.49295774647887325
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,REF,Q2,71,25,0.352112676056338
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,REF,Q3,77,45,0.5844155844155844
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_high_r,REF,Q4,76,49,0.6447368421052632
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,DEV,Q1,120,70,0.5833333333333334
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,DEV,Q2,119,62,0.5210084033613446
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,DEV,Q3,119,57,0.4789915966386555
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,DEV,Q4,119,54,0.453781512605042
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,REF,Q1,60,36,0.6
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,REF,Q2,62,33,0.532258064516129
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,REF,Q3,87,43,0.4942528735632184
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_low_r,REF,Q4,86,42,0.4883720930232558
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,DEV,Q1,120,59,0.49166666666666664
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,DEV,Q2,119,61,0.5126050420168067
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,DEV,Q3,119,52,0.4369747899159664
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,DEV,Q4,119,71,0.5966386554621849
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,REF,Q1,72,34,0.4722222222222222
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,REF,Q2,67,27,0.40298507462686567
PLUS15_REACTION,PLUS15_CLOSE,GE1_5R,p15_body_r,REF,Q3,77,40,0.5194805194805194
